Частота графического ядра,Рейтинг,Пропускная способность памяти,Количество отзывов,Название,Количество каналов памяти,Поддержка памяти ECC,Гарантия,Встроенное графическое ядро,Цена,Максимальный объем памяти,Максимальный объем видеопамяти
0.0,3.6,0.0,11.0,ryzen 9 5950x oem (100-000000059),0.0,0.0,12.0,0.0,59190,128.0,0.0
0.0,4.0,50.0,7.0,i5-11400f-oem-(cm8070804497016-s-rkp1),2.0,0.0,36.0,0.0,15590,128.0,0.0
0.0,3.3,0.0,14.0,ryzen 7 5700g oem (100-000000263),2.0,0.0,12.0,1.0,24190,0.0,128.0
1900.0,4.0,0.0,14.0,ryzen 5 4600g oem (100-000000147),2.0,0.0,12.0,1.0,13390,64.0,0.0
0.0,2.4,0.0,9.0,ryzen 7 7700x oem (100-000000591),2.0,0.0,12.0,1.0,38290,128.0,0.0
0.0,2.7,0.0,9.0,ryzen 9 7900x oem (100-000000589),2.0,0.0,12.0,1.0,55690,128.0,0.0
0.0,4.6,89.6,8.0,i5-13600kf-oem,0.0,0.0,12.0,0.0,43890,128.0,0.0
300.0,5.0,0.0,21.0,процессор-intel-original-core-i7-13700k,2.0,1.0,12.0,1.0,53590,128.0,0.0
0.0,3.4,0.0,8.0,процессор-intel-original-core-i7-13700kf,2.0,0.0,12.0,0.0,51290,128.0,0.0
300.0,4.3,0.0,-2.0,процессор,2.0,1.0,12.0,1.0,79590,0.0,0.0
0.0,4.1,0.0,7.0,процессор,2.0,0.0,12.0,0.0,81690,128.0,0.0
1250.0,4.3,0.0,9.0,ryzen 3 3200g am4 box,2.0,0.0,12.0,0.0,10790,0.0,0.0
1250.0,5.0,0.0,6.0,ryzen 3 3200g am4 oem,2.0,0.0,12.0,0.0,9440,0.0,0.0
0.0,2.6,0.0,16.0,i5-11500,2.0,0.0,36.0,1.0,24990,128.0,0.0
0.0,3.5,0.0,16.0,ryzen 5 3600 oem (0694559),2.0,0.0,12.0,0.0,9799,128.0,0.0
450.0,4.2,0.0,16.0,sempron 3850 socket am1 box (sd3850jahmbox),0.0,0.0,36.0,1.0,2690,0.0,0.0
756.0,4.1,0.0,2.0,a6 7400k socket fm2+ box (ad740kybjabox),0.0,0.0,36.0,1.0,3099,0.0,0.0
0.0,4.0,0.0,-7.0,fx-4350 socket am3+ oem (fd4350frw4khk),0.0,1.0,12.0,0.0,2999,128.0,0.0
0.0,3.6,0.0,3.0,fx-6350 socket am3+ oem (fd6350frw6khk),0.0,0.0,12.0,0.0,0,0.0,0.0
950.0,4.9,0.0,22.0,"celeron g3900 2,80ghz 2mb box ",2.0,0.0,36.0,1.0,5990,64.0,0.0
0.0,3.9,0.0,8.0,celeron g3930,0.0,0.0,36.0,1.0,4590,0.0,0.0
0.0,4.8,0.0,8.0,0,0.0,0.0,36.0,1.0,4690,0.0,0.0
0.0,3.9,0.0,10.0,0,0.0,0.0,36.0,1.0,5599,0.0,0.0
0.0,3.7,0.0,7.0,i3-7100,0.0,0.0,36.0,1.0,7199,0.0,0.0
0.0,4.4,0.0,7.0,i5-6400,0.0,0.0,36.0,1.0,18699,0.0,0.0
0.0,3.3,0.0,6.0,i5-7500,0.0,0.0,36.0,1.0,13990,0.0,0.0
0.0,5.0,0.0,14.0,i5-7500,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0,4.0,0.0,4.0,i5-7600k,0.0,0.0,36.0,1.0,10199,0.0,0.0
0.0,5.0,0.0,13.0,i7-7700,0.0,0.0,36.0,1.0,29290,0.0,0.0
0.0,3.6,0.0,2.0,ryzen 5 1400 (yd1400bbaebox),0.0,0.0,36.0,0.0,8290,0.0,0.0
0.0,5.0,0.0,7.0,ryzen 7 1700 (yd1700bbaebox),2.0,0.0,36.0,0.0,17299,128.0,0.0
0.0,5.0,0.0,10.0,a10 7850k,0.0,0.0,36.0,1.0,7590,0.0,0.0
0.0,3.4,0.0,15.0,a10 7850k,0.0,0.0,0.0,0.0,0,0.0,0.0
350.0,5.0,34.1,5.0,i3-6100,2.0,1.0,36.0,1.0,7790,64.0,64.0
0.0,3.1,0.0,6.0,i3-7300,0.0,0.0,36.0,1.0,9690,0.0,0.0
0.0,2.9,0.0,11.0,i3-7320,0.0,0.0,36.0,1.0,12499,0.0,0.0
350.0,3.6,0.0,6.0,i3-7350k,2.0,1.0,36.0,1.0,11190,0.0,64.0
0.0,4.1,0.0,14.0,i5-7640x,0.0,0.0,36.0,0.0,19490,0.0,0.0
0.0,3.2,0.0,4.0,i7-7740x,0.0,0.0,36.0,0.0,15499,0.0,0.0
0.0,3.8,0.0,5.0,fx-8320e (fd832ewmhkbox),0.0,0.0,36.0,0.0,6790,0.0,0.0
0.0,2.9,0.0,5.0,fx-8300 (fd8300wmhkbox),0.0,0.0,36.0,0.0,7390,0.0,0.0
0.0,5.0,0.0,13.0,fx-8320 (fd8320frhkbox),0.0,0.0,36.0,0.0,8590,0.0,0.0
0.0,4.4,0.0,8.0,a10 7800 (ad7800ybjabox),0.0,0.0,36.0,1.0,5490,0.0,0.0
0.0,0.0,0.0,0.0,a8 7650k (ad765kxbjabox),0.0,0.0,36.0,1.0,4990,0.0,0.0
0.0,0.0,0.0,0.0,a4 7300 (ad7300okhlbox),0.0,0.0,36.0,1.0,2590,0.0,0.0
0.0,0.0,0.0,0.0,a10 7870k (ad787kxdjcbox),0.0,0.0,36.0,1.0,6190,0.0,0.0
0.0,0.0,0.0,0.0,a10 7890k (ad789kxdjchbx),0.0,0.0,36.0,1.0,6690,0.0,0.0
0.0,0.0,0.0,0.0,a10 7870k (ad787kxdjcsbx),0.0,0.0,36.0,1.0,6290,0.0,0.0
0.0,0.0,0.0,0.0,a10 7860k (ad786kybjcsbx),0.0,0.0,36.0,1.0,5990,0.0,0.0
0.0,0.0,0.0,0.0,ryzen 5 1500x (yd150xbbaebox),0.0,0.0,36.0,0.0,0,0.0,0.0
0.0,0.0,0.0,0.0,a10 9700e (ad9700ahabbox),0.0,0.0,36.0,1.0,5690,0.0,0.0
0.0,0.0,0.0,0.0,a12 9800e (ad9800ahabbox),0.0,0.0,36.0,1.0,6990,0.0,0.0
800.0,0.0,0.0,0.0,a6 9500e (ad9500ahabbox),2.0,0.0,36.0,1.0,3399,0.0,0.0
0.0,0.0,0.0,0.0,a6 9500 (ad9500agabbox),0.0,0.0,36.0,1.0,3490,0.0,0.0
0.0,0.0,0.0,0.0,a10 9700 (ad9700agabbox),0.0,0.0,36.0,1.0,5690,0.0,0.0
1250.0,0.0,0.0,0.0,ryzen 5 2400g (yd2400c5fbbox),2.0,0.0,36.0,1.0,11399,64.0,0.0
724.0,0.0,0.0,0.0,a4 4000 (ad4000okhlbox),2.0,0.0,36.0,1.0,0,0.0,0.0
0.0,0.0,0.0,0.0,a4 6300 (ad6300okhlbox),0.0,0.0,36.0,1.0,2090,0.0,0.0
0.0,0.0,0.0,0.0,a8 7670k (ad767kxbjcbox),2.0,0.0,36.0,1.0,0,64.0,0.0
350.0,0.0,0.0,0.0,0,2.0,0.0,36.0,1.0,8790,64.0,64.0
