link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Максимальный объем памяти,Тип памяти,Поддержка частот памяти,Количество каналов памяти,Пропускная способность памяти,Поддержка памяти ECC,Версия PCI Express,Количество каналов PCI Express,Конфигурация PCI Express,Встроенное графическое ядро,Вес упаковки (ед),Гарантия,Модель графического ядра,Частота графического ядра,Габариты упаковки (ед) ДхШхВ,Максимальный объем видеопамяти,Поддержка WiDi,Особенности
https://www.citilink.ru/product/processor-intel-s-core-i7-10700f-soc-1200-2-9ghz-oem-1779473/,5,2,"Процессор Intel Core i7 10700F, LGA 1200, OEM",19 490₽,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-11700kf-soc-1200-3-6ghz-oem-1791235/,5,2,"Процессор Intel Core i7 11700KF, LGA 1200, OEM",23 990₽,INTEL,128 ГБ,DDR4,3200 МГц,2,50 GB/s,не поддерживается,PCI Express 4.0,20,"1x16+1x4, 2x8+1x4, 1x8+3x4",отсутствует,0.056 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-11700k-soc-1200-3-6ghz-iuhdg750-oem-1723020/,Код товара: 1723020,,"Процессор Intel Core i7 11700K, LGA 1200, OEM",31 990₽,INTEL,128 ГБ,DDR4,3200 МГц,2,50 GB/s,не поддерживается,PCI Express 4.0,20,"1x16+1x4, 2x8+1x4, 1x8+3x4",есть,0.035 кг,12 мес.,Intel UHD Graphics 750,350 МГц и 1300 МГц Turbo,,64 ГБ,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-7600x-socketam5-100-100000593wof-4-7ghz-box-1869659/,Код товара: 1869659,,"Процессор AMD Ryzen 5 7600X, SocketAM5, BOX (без кулера) [100-100000593wof]",23 990₽,AMD,128 ГБ,DDR5,5200 МГц,2,,поддерживается,PCI Express 5.0,24,,есть,0.5 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i5-11600kf-soc-1200-3-9ghz-oem-1825352/,Код товара: 1825352,,"Процессор Intel Core i5 11600KF, LGA 1200, OEM",21 990₽,INTEL,128 ГБ,DDR4,3200 МГц,2,50 GB/s,не поддерживается,PCI Express 4.0,20,"1x16+1x4, 2x8+1x4, 1x8+3x4",отсутствует,0.022 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i3-13100f-soc-1700-3-4ghz-oem-1901393/,Код товара: 1901393,,"Процессор Intel Core i3 13100F, LGA 1700, OEM",10 490₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 4800 МГц DDR4 3200 МГц,2,76.8 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",отсутствует,0.044 кг,12 мес.,,,,,,
https://www.citilink.ru/product/processor-intel-s-core-i7-13700-soc-1700-2-1ghz-iuhdg770-oem-1901397/,Код товара: 1901397,,"Процессор Intel Core i7 13700, LGA 1700, OEM",40 990₽,INTEL,128 ГБ,DDR5/ DDR4,DDR5 5600 МГц DDR4 3200 МГц,2,89.6 GB/s,не поддерживается,PCI Express 5.0,20,"1x16+4, 2x8+4",есть,0.049 кг,12 мес.,Intel UHD Graphics 770,300 МГц и 1600 МГц Turbo,0.045x0.038x0.004 м,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-3-4100-am4-100-000000510-3-8ghz-oem-1938581/,Код товара: 1938581,,"Процессор AMD Ryzen 3 4100, SocketAM4, OEM [100-000000510]",5 190₽,AMD,128 ГБ,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,20,,отсутствует,,12 мес.,,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-7-5800x3d-am4-100-000000651-3-4ghz-oem-1901495/,5,1,"Процессор AMD Ryzen 7 5800X3D, SocketAM4, OEM [100-000000651]",32 590₽,AMD,,DDR4,3200 МГц,,,не поддерживается,PCI Express 4.0,20,,отсутствует,0.056 кг,12 мес.,,,0.039x0.039x0.002 м,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-9-7900x-am5-100-000000589-4-7ghz-oem-1875236/,Код товара: 1875236,,"Процессор AMD Ryzen 9 7900X, SocketAM5, OEM [100-000000589]",38 990₽,AMD,128 ГБ,DDR5,5200/3600 МГц,2,,поддерживается,PCI Express 5.0,24,,есть,0.056 кг,12 мес.,AMD Radeon,400 МГц и 2200 МГц Turbo,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-pro-4650ge-am4-100-000000153-3-3ghz-amd-radeon-1928243/,5,1,"Процессор AMD Ryzen 5 PRO 4650GE, SocketAM4, OEM [100-000000153]",9 490₽,AMD,,DDR4,3200 МГц,2,,не поддерживается,PCI Express 3.0,,,есть,0.092 кг,12 мес.,AMD Radeon,,,,,
https://www.citilink.ru/product/processor-amd-s-ryzen-5-3400ge-am4-yd3400c6m4mfh-3-3ghz-amd-radeon-oem-1839953/,Код товара: 1839953,,"Процессор AMD Ryzen 5 3400GE, SocketAM4, OEM [yd3400c6m4mfh]",10 190₽,AMD,,DDR4,2933 МГц,2,,не поддерживается,PCI Express 3.0,,,есть,0.052 кг,12 мес.,Radeon RX Vega 11,1300 МГц,,,,
