Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Русифицированное меню,Синий экран,Автоматическая настройка,Ручная настройка,Предустановки,SCART,Список программ,Частота процессора,Изогнутый экран,Преобразование 2D в 3D,Антибликовое покрытие,VGA (D-Sub),Регулировка температуры цвета,Гребенчатый фильтр,Количество каналов,Интерьерный режим,Функция Plug&Play
"LED телевизор 24"" Maunfeld MLT24H01",10 990 р.,5,3,Беларусь,1 год,,45 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,,,Есть,Есть ,Есть,Есть ,Есть,Есть,Есть,200x100 ,,Есть,Есть,,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,2 ,,,,,,Есть,Есть ,1,,,,,,,,Есть ,37 см,55.3 см,,,,,,,,16:9,"PAL, SECAM",2 ,4 Вт,,3000:1,,,200 кд/м² ,,,60 Гц ,170 °,170 ° ,8.5 мс,,,,VA,,Direct LED,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Haier 32 Smart TV S1",15 990 р.,3,4,Россия,1 год,Android TV,57 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",Стерео,16 Вт,Есть,Есть,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2 x 8 Вт,,4000:1,,,220 кд/м² ,,,60 Гц ,178 °,178 ° ,6.5 мс,Есть,,Есть,,4K Ultra HD,Direct LED,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG NanoCell 65NANO756QA",79 999 р.,5,9,Россия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,Есть,,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,WebOS,,,,60 Гц ,,,,,,Есть,,LG ThinQ,Direct LED,,,2.0,,α5 Gen5 4K,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,Есть ,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Samsung UE65AU7002U",72 299 р.,5,5,Россия,1 год,Tizen,99 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,Есть,,Есть,Есть ,Есть,Есть,Есть,400x300 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,,,,3 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,91.58 см,,,,,,,,,16:9,,,20 Вт,,,,,,,,60 Гц ,,,,,,Есть,,UHD Processor 4K 2000,,,,,Есть,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Samsung UE43CU8500U",57 999 р.,5,2,Вьетнам,1 год,Tizen,70 Вт,"43"" (109.2 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,62.4 см,96.6 см,18.8 см,56 см,96.6 см,2.6 см,8.7 кг,,,,,,,,,,,,,,60 Гц ,,,,,,,,,,,,,,Crystal 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Harper 24R490T",8 000 р.,4,5,Россия,1 год,,60 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,Есть,Есть ,Есть,Есть,Есть,,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",NICAM/A2,,,Есть,Есть,,3 ,1.4,,Есть,,,Есть,Есть ,1,,,,,,,,,,,,,,,,,,16:9,"NTSC, PAL, SECAM",2 ,6 Вт,,60000:1,,,200 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,,VA,,Direct LED,Есть,Есть,,,,,,,,,"MP3, AVI, DivX, MKV, JPEG, MPEG4",,,,,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,
"Ultra HD (4K) LED телевизор 50"" Haier 50 Smart TV S3",34 999 р.,5,2,Китай,1 год,Android TV,150 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,3 ,1.4,,,Есть,,Есть,Есть ,2,Есть ,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,5000:1,,11,320 кд/м² ,,,60 Гц ,178 °,178 ° ,8 мс,,,Есть,,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Supra STV-LC43ST0045F",15 890 р.,0,0,Китай,1 год,Android TV,75 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,,Есть ,,,,,Есть ,,,Есть,200x200 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",,,,,,,2 ,,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,,56.4 см,96.8 см,8.7 см,,,,,,,16:9,"PAL, SECAM",2 ,2х10 Вт,,120000:1,,9.0,260 кд/м² ,1 ГБ,8 ГБ,60 Гц ,178 °,178 ° ,7 мс,,,,,,,,,2.0,,CA53 quad core,,,,,,"MP3, AVI, MKV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" LG 55UQ75006LF",50 590 р.,5,1,Польша,1 год,WebOS,120 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,Есть ,Есть,,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Virtual 5.1 Up-mix,,Есть,,,,2 ,,,,Есть,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,,,,,,,,,,,,,2 ,2 x 10 Вт,,,,,,,,60 Гц ,,,,,,Есть,,,Direct LED,,,2.0,,,4,,,Есть,,"MP3, WMA",Есть,,,,,,,,,,,,,,,Есть,,,,,,,Есть,,,,,,,,,,
"LED телевизор 32"" Samsung UE32T5300AU",24 590 р.,5,1,Россия,1 год,Tizen,80 Вт,"32"" (81.3 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,,Есть ,,,,,Есть ,,,,43.8 см,73.7 см,7.4 см,,,,16:9,"PAL, SECAM",,10 Вт,4.1 кг,,,,,,,50 Гц ,,,,,,Есть,,Hyper Real 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
