Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Версия ОС на начало продаж,Частота обновления,Технологии улучшения изображения,Масштабирование,Цветовая система,Мощность,Технологии улучшения звука,Вес,Формат,Модель процессора,NFC,Тип матрицы,Тип светодиодной подсветки,Угол обзора по вертикали,Угол обзора по горизонтали,Список программ,Гид по программам,eARC,Количество ядер процессора,Кол-во встроенных динамиков,Акустическая схема,Яркость,Контрастность,Время отклика,Поддерживаемые форматы,Объемное звучание,Антибликовое покрытие,Интерьерный режим,Батарейки для пульта ДУ,Родительский контроль,Мощность сабвуфера,Таймер включения,Русифицированное меню,Объем встроенной памяти,Количество тюнеров,Динамическая контрастность,Объем оперативной памяти,Производитель процессора,Эквалайзер,Любимые каналы,Гребенчатый фильтр,Автоматическая регулировка громкости,VGA (D-Sub),Чтение карт памяти,Частота процессора,Встроенный DVD-плеер,SCART,Слот для карт памяти,Ввод названий каналов,Прогрессивная развертка,Дополнительная информация
"Ultra HD (4K) LED телевизор 43"" Samsung UE43CU7100U",39 999 р.,5,3,Вьетнам,1 год,Tizen,70 Вт,"43"" (109.2 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,62.8 см,96.4 см,19.3 см,55.9 см,96.4 см,5.96 см,,,,,60 Гц ,,,,,,,,Crystal 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 75"" Samsung UE75CU7100U",117 999 р.,5,4,Вьетнам,1 год,Tizen,134 Вт,"75"" (190.5 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,400x400 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,104.8 см,167.3 см,34.1 см,95.8 см,167.3 см,5.99 см,,,,,60 Гц ,,,,,,,,Crystal 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 85"" Samsung UE85CU8000U",209 999 р.,5,2,Вьетнам,1 год,Tizen,204 Вт,"85"" (215.9 см) ",Crystal UHD ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,Есть ,,,Есть,600x400 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital Plus,20 Вт,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,113.2 см,190.1 см,39.5 см,108.6 см,190.1 см,2.7 см,,,,,100 Гц ,,,,,,,,Quantum 4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Samsung QE65Q70CAU",144 999 р.,5,2,Вьетнам,1 год,Tizen,146 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,Есть,Есть,Есть,400x300 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",,20 Вт,,,,,4 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,90 см,145.2 см,,,,,,,,,120 Гц ,,,,,,,,Quantum 4K,,,Dual LED,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" Sony KD-50X75K AF1",59 999 р.,0,0,Китай,1 год,Android TV,80 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,Есть ,,,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,50 Гц ,Motionflow™ XR,,"PAL, SECAM",2х10 Вт,,,,4K Processor X1™,,,Direct LED,178 °,178 ° ,,Есть,,4,2 ,2.0,,,,"MP3, AVI, JPEG, WMA, MPEG4",,X-ANTI REFLECTION,,,,,Есть,Есть,16 ГБ,1 ,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" LG 43UQ75006LF",30 990 р.,5,2,Россия,1 год,WebOS,110 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,,,Есть,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,20 Вт,,,,,2 ,2.0,,,Есть,,,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,60 Гц ,,Есть,"PAL, SECAM",10 Вт,,,16:9,,,,,,,,,Есть,,2 ,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Econ EX-40FS009B",15 590 р.,0,0,Россия,1 год,Android TV,,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,,,,Есть ,,,Есть,200x200 ,,,Есть,Есть,"DVB-C, DVB-T2 ",,,,,,,2 ,2.0,,,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,57 см,91 см,,,,,,,,Android 9.0,60 Гц ,,,,16 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,300 кд/м² ,,6 мс,MKV,,,,,,,,,8 ГБ,,120000:1,1 ГБ,,,,,,,,,,,,,,
"LED телевизор 43"" Harper 43F720TS",21 290 р.,3,1,Россия,1 год,Android TV,64 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,,Есть ,Есть,Есть,,,,,Есть,,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",,,,,,Есть,2 ,1.4,,,,,Есть,,,,,,,,,,,,,,,,,,,,Official Google Android 9.0,60 Гц ,,,"NTSC, PAL, SECAM",16 Вт,,,16:9,Mali-470,,VA,Direct LED,178 °,178 ° ,,Есть,,,2 ,,250 кд/м² ,90000:1,8 мс,"MP3, MKV, JPEG, MPEG4",,,,,,,,,8 ГБ,,,1 ГБ,ARM,Есть,,,,,,,,,,,,
"LED телевизор 39"" Yuno ULM-39 TC 120",13 290 р.,5,1,Россия,1 год,WebOS,57 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,,,,Есть,200x100 ,,,,Есть,"DVB-C, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,,,3 ,"1.3, 1.4a",,,,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,,50 Гц ,,,"NTSC, PAL, SECAM",20 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,250 кд/м² ,3000:1,8 мс,"MP3, AVI, JPEG, WMA",Есть,,,,,,Есть,,,,,,,,Есть,Есть,Есть,Есть,,,,,,,,
"LED телевизор 39"" Supra STV-LC39LT0045W",13 690 р.,0,0,Россия,1 год,,65 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,,,Есть,Есть ,,Есть ,,,,200x200 ,,Есть,,,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3 ,,,,,,Есть,Есть ,1,,,,,,,,Есть ,55.3 см,89 см,21.1 см,51.1 см,89 см,8.1 см,6.7 кг,6.6 кг,Черный ,,60 Гц ,,,"PAL, SECAM",20 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,220 кд/м² ,,6 мс,,,,,,,,,,,,100000:1,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO756QA",57 490 р.,5,2,Россия,1 год,WebOS,130 Вт,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,,,Есть,Есть ,Есть,,Есть,,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,4 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,60 Гц ,,Есть,,20 Вт,,,16:9,,Есть,IPS,Direct LED,,,,,,4,2 ,2.0,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Haier 43 Smart TV MX Light",22 990 р.,5,2,Россия,1 год,Android TV,86 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,,Голосом ,Есть,Есть ,Есть,,Есть,,Есть,200x200 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,,Есть,,,3 ,2.0,,,Есть,Есть,Есть,Есть ,2,,Есть,Есть ,,,,,Есть ,61.5 см,,,,,,,,,9.0,60 Гц ,,,"PAL, SECAM",8 Вт,,,16:9,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,"SD, SDHC",,,,,,,
"Ultra HD (4K) LED телевизор 50"" Grundig 50 GGU 7900B",52 190 р.,5,4,Турция,1 год,Android TV,54.1 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,Есть,,Есть,Есть,,200x200 ,Есть,Есть,Есть,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Atmos,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,11,50 Гц ,UHD 4K,Есть,"PAL, SECAM",20 Вт,,,,,,,Direct LED,,,,,,,,,,,,,,,,,,,,,16 ГБ,,,2 ГБ,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 50"" LG NanoCell 50NANO766QA.ARUB",45 190 р.,5,8,Южная Корея,1 год,WebOS,,"50"" (127 см) ",NanoCell ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,Голосом ,Есть,,Есть,Есть ,,,Есть,200x200 ,Есть,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",AI Sound Pro,,,,,,3 ,,,,Есть,,,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,60 Гц ,,,,20 Вт,,,,α5 Gen5 AI Processor 4K,,VA,Direct LED,178 °,178 ° ,,Есть,,,2 ,2.0,,,,,,,,,,,Есть,Есть,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Olto 43ST20U",19 990 р.,4,1,Россия,1 год,Android TV,74 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,,Есть ,Есть,Есть,,,,,,,"DVB-C, DVB-T, DVB-T2 ",,,,,Есть,,3 ,"2.0, 1.4",,,,,Есть,,,,,,,,,,,,,,,,,,,,9.0,60 Гц ,,Есть,"NTSC, PAL, SECAM",16 Вт,,,16:9,Cortex A55 ARM,,VA,Direct LED,178 °,,,Есть,,,2 ,,250 кд/м² ,90000:1,8 мс,"MP3, AVI, MKV, JPEG, WMA",Есть,,,,,,,,8 ГБ,,,1.5 ГБ,,Есть,,,,,,0.9 ГГц,,,,,,
"Ultra HD (4K) QLED телевизор 50"" Haier 50 Smart TV AX Pro",49 999 р.,5,5,Китай,1 год,Android TV,160 Вт,"50"" (127 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,4 ,2.1,,,Есть,,Есть,Есть ,2,,,,,,,,,,,,,,,,,,11,60 Гц ,,Есть,"PAL, SECAM",2х12 Вт,,,16:9,,,,Direct LED,178 °,178 ° ,,,,,2 ,,220 кд/м² ,5000:1,8 мс,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Haier 55 Smart TV S3",39 999 р.,5,2,Китай,1 год,Android TV,170 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,,,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,3 ,1.4,,,Есть,,Есть,Есть ,2,Есть ,,,,,,,,,,,,,,,,,11,60 Гц ,,Есть,"PAL, SECAM",2х10 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,320 кд/м² ,6000:1,6.5 мс,,Есть,,,,,,,,,,,,,Есть,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Haier 65 Smart TV S3",54 999 р.,5,2,Китай,1 год,Android TV,200 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,,,Есть,,,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ",NICAM стерео,,Есть,Есть,,Есть,4 ,2.1,,,Есть,,Есть,,,,,,,,,,,,,,,,,,,,11,60 Гц ,,Есть,"PAL, SECAM",26 Вт,,,16:9,,,,,178 °,178 ° ,,,,,2 ,,320 кд/м² ,6000:1,6.5 мс,,Есть,,,,Есть,,,,,,,,,Есть,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" LG 65UQ80006LB",67 199 р.,0,0,Россия,1 год,WebOS,130 Вт,"65"" (165.1 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,,Есть ,,,Есть,400x400 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,Есть,,,,2 ,,,,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,60 Гц ,,Есть,"PAL, SECAM",20 Вт,,,16:9,,,VA,Direct LED,178 °,,,Есть,,,2 ,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 60"" LG 60UQ80006LB",74 999 р.,0,0,Китай,1 год,WebOS,,"60"" (152.4 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,,,Есть ,,,Есть,300x300 ,,Есть,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",AI Sound,,Есть,,,,2 ,,,,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,,60 Гц ,,Есть,"PAL, SECAM",20 Вт,,,16:9,,,VA,Direct LED,178 °,,,Есть,,,2 ,,,,,,,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" AIWA 32FLE9600S",19 990 р.,2,1,Россия,1 год,Android TV,50 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,Есть ,Есть ,Есть ,,,,,Есть ,Есть,Есть,,,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,3 ,,,,,,Есть,Есть ,1,Есть ,Есть,Есть ,,,,,Есть ,,,,42.5 см,72.4 см,8.8 см,,,Черный ,9.0,60 Гц ,,,"PAL, SECAM",2х6 Вт,,4.6 кг,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
