link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Поддержка,Поддержка технологий NVIDIA,Поддержка трассировки лучей,Поддержка DLSS,Разъемов,Версия разъема,Количество разъемов,Количество поддерживаемых мониторов,Разъемы дополнительного,Максимальное,Рекомендуемая мощность блока,Система,Использование тепловых,Lite Hash Rate,Тип,Длина,Конструкция системы,Высота видеокарты,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Гарантия,OverClock,Разъемы,Толщина видеокарты,Особенности,Количество разъемов D-SUB,Низкопрофильная видеокарта (Low,Разъем DVI,Разъемов USB (Type-C),Низкопрофильная планка,Технология объединения,Количество разъемов Mini
https://www.citilink.ru/product/videokarta-gigabyte-pci-e-gv-n1656d6-4gd-2-0-nv-gtx1650-4096mb-128-gdd-1930122/,Код товара: 1930122,,"Видеокарта GIGABYTE NVIDIA GeForce GTX 1650 GV-N1656D6-4GD 2.0 4ГБ D6, GDDR6, Ret",18 430₽,,DirectX 12/OpenGL 4.6,,,,1,1.4,1,3,6 pin,,300 Вт,активное,,,retail,172 мм,двухслотовая,,0.3x0.21x0.05 м,0.662 кг,36 мес.,,1,40 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-tuf-rtx4070ti-12g-gaming-nv-rtx4070ti-12288m-1897370/,Код товара: 1897370,,"Видеокарта ASUS NVIDIA GeForce RTX 4070TI TUF-RTX4070TI-12G-GAMING 12ГБ GDDR6X, Ret",104 740,ASUS,DirectX 12/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,3,4,16 pin,,750 Вт,активное,есть,,retail,305 мм,четырехслотовая,,0.423x0.227x0.09 м,2.325 кг,36 мес.,,,,,,,,,,,
https://www.citilink.ru/product/videokarta-pny-pci-e-rtx-a4500-nv-rtx-a4500-20480mb-320-gddr6-mdpx4-re-1796639/,Код товара: 1796639,,"Видеокарта PNY NVIDIA RTX A4500 RTX A4500 20ГБ GDDR6, Ret [vcnrtxa4500-pb]",247 600,PNY,DirectX 12/OpenGL 4.5,"nVidia CUDA, nVidia PhysX, nVidia GigaThread, nVidia Pure Video HD",,,,1.4,,,8 pin,200 Вт,,активное,,,retail,266.7 мм,двухслотовая,,0.36x0.08x0.17 м,0.6 кг,12 мес.,,,,,,,,,,NVLink,4
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-tuf-rtx4070ti-o12g-gaming-nv-rtx4070ti-12288-1897368/,Код товара: 1897368,,"Видеокарта ASUS NVIDIA GeForce RTX 4070TI TUF-RTX4070TI-O12G-GAMING 12ГБ GDDR6X, OC, Ret",106 840,ASUS,DirectX 12/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,3,4,16 pin,,750 Вт,активное,есть,,retail,305 мм,четырехслотовая,,0.42x0.227x0.09 м,2.325 кг,36 мес.,да,,,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-dual-rx6750xt-o12g-amd-rx6750xt-12288mb-192-1811680/,Код товара: 1811680,,"Видеокарта ASUS AMD Radeon RX 6750XT DUAL-RX6750XT-O12G 12ГБ GDDR6, OC, Ret",61 270₽,ASUS,DirectX 12/OpenGL 4.6,,есть,,1,1.4a,3,,8+8 pin,,750 Вт,активное,есть,,retail,295 мм,трехслотовая,,0.41x0.09x0.24 м,2.1 кг,36 мес.,да,,,,,,,,,,
https://www.citilink.ru/product/videokarta-powercolor-pci-e-4-0-axrx-6700xt-12gbd6-3dhe-oc-amd-rx6700x-1493185/,5,4,"Видеокарта PowerColor AMD Radeon RX 6700XT AXRX 6700XT 12GBD6-3DHE/OC 12ГБ GDDR6, OC, Ret",56 640₽,POWERCOLOR,DirectX 12/OpenGL 4.6,,есть,,1,1.4,3,4,8+8 pin,,700 Вт,активное,есть,,retail,320 мм,трехслотовая,130 мм,0.397x0.23x0.122 м,2.44 кг,24 мес.,да,,50 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-powercolor-pci-e-4-0-axrx-6650xt-8gbd6-3dhlv3-oc-amd-rx6650-1800259/,Код товара: 1800259,,"Видеокарта PowerColor AMD Radeon RX 6650XT AXRX 6650XT 8GBD6-3DHLV3/OC 8ГБ Hellhound Sakura, GDDR6, OC, Ret",46 720₽,POWERCOLOR,DirectX 12 Ultimate/OpenGL 4.6,,есть,,1,1.4,3,,8 pin,,600 Вт,активное,есть,,retail,220 мм,двухслотовая,,0.3x0.2x0.07 м,1.1 кг,24 мес.,да,,,,,,,,,SLI,
https://www.citilink.ru/product/videokarta-palit-pci-e-4-0-rtx4070ti-jetstream-nv-rtx4070ti-10500mb-19-1930648/,Код товара: 1930648,,"Видеокарта Palit NVIDIA GeForce RTX 4070TI RTX4070Ti JETSTREAM 12ГБ JetStream, GDDR6X, Ret [ned407t019k9-1043j]",90 080,PALIT,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,1,1.4a,3,4,16 pin,285 Вт,750 Вт,активное,есть,,retail,328.9 мм,трехслотовая,,0.425x0.215x0.105 м,2.34 кг,36 мес.,,,63.5 мм,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-rog-strix-rx560-4g-v2-gaming-amd-rx560-4096mb-12-1897372/,Код товара: 1897372,,"Видеокарта ASUS AMD Radeon RX 560 ROG-STRIX-RX560-4G-V2-GAMING 4ГБ GDDR5, Ret",17 180₽,,DirectX 12/OpenGL 4.5,,,,1,2.0b,1,,8 pin,,450 Вт,активное,есть,,retail,242 мм,двухслотовая,,0.362x0.217x0.065 м,1.129 кг,36 мес.,,1,,,,,,,,,
https://www.citilink.ru/product/videokarta-asus-pci-e-4-0-tuf-rtx4090-o24g-gaming-nv-rtx4090-24576mb-3-1901108/,Код товара: 1901108,,"Видеокарта ASUS NVIDIA GeForce RTX 4090 TUF-RTX4090-O24G-GAMING 24ГБ GDDR6X, OC, Ret",197 960,ASUS,DirectX 12 Ultimate/OpenGL 4.6,"NVIDIA DLSS, NVIDIA Reflex, NVIDIA STUDIO, NVIDIA Ray Tracing, NVIDIA G-Sync, NVIDIA Broadcast, NVIDIA Game Ready, NVIDIA Shadow Play, NVIDIA Ansel, NVIDIA Freestyle, NVIDIA NVENC, NVIDIA VR Works, NVIDIA CUDA",есть,есть,2,1.4a,3,4,16 pin,,850 Вт,активное,есть,,retail,348.2 мм,четырехслотовая,,0.43x0.1x0.27 м,3.66 кг,36 мес.,да,,,,,,,,отсутствует,,
