Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук игровой msi gf63 thin 11uc-218xru,0.0,0.0,29,2,1,13,12.0,5.0,1.0,8.0,73,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,8.0,1.86,77990.0,1.0,8.0,0.0,2.0
ноутбук digma eve 15 p418,0.0,0.0,65,2,1,13,12.0,5.0,0.0,2.0,19,0.0,1.0,0,5000.0,0.0,2.0,2,0,0.0,0.0,0.0,9,4.0,2.0,20000.0,0.0,2.0,0.0,0.0
ноутбук digma eve 15 p417,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,31000.0,0.0,0.0,0.0,0.0
ноутбук игровой msi gf63 thin 11ud-221ru,0.0,0.0,27,2,1,13,12.0,1.0,1.0,6.0,39,0.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,144.0,9,8.0,1.86,77990.0,1.0,6.0,0.0,2.0
ноутбук hp 255 g8,0.0,0.0,3,8,1,13,12.0,4.0,1.0,2.0,11,0.0,1.0,0,0.0,0.0,2.0,2,0,250.0,3.0,60.0,4,4.0,1.74,29990.0,0.0,2.0,0.0,1.0
ноутбук игровой msi gf63 thin 11uc-216ru,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,89990.0,0.0,0.0,0.0,0.0
"ноутбук игровой gigabyte aero 16 16""",0.0,0.0,0,5,0,0,0.0,4.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,177990.0,0.0,0.0,0.0,0.0
ноутбук acer aspire 1 a114-33-p7vd,11.0,0.0,64,8,1,6,12.0,4.8,0.0,4.0,114,0.0,1.0,0,0.0,0.0,4.0,2,0,220.0,2.0,60.0,3,8.0,1.9,37030.0,0.0,4.0,0.0,2.0
ноутбук lenovo ideapad 3 15aba7,0.0,0.0,3,2,1,13,12.0,0.0,1.0,8.0,139,0.0,1.0,0,0.0,0.0,16.0,2,0,300.0,0.0,60.0,9,8.0,1.63,58990.0,0.0,8.0,0.0,1.0
ноутбук huawei matebook d 15 bod-wdi9,0.0,0.0,64,2,1,13,12.0,5.0,0.0,2.0,25,0.0,1.0,0,0.0,0.0,4.0,2,0,250.0,4.0,0.0,10,8.0,1.56,41990.0,0.0,2.0,0.0,0.0
ноутбук игровой asus vivobook pro 15 oled k6500z,0.2,0.0,29,6,1,13,12.0,5.0,0.0,12.0,46,0.0,1.0,0,0.0,0.0,16.0,2,0,600.0,3.0,120.0,10,16.0,1.8,135990.0,1.0,4.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,6.0,127,0.0,1.0,0,4800.0,0.0,12.0,2,0,0.0,0.0,0.0,10,16.0,1.7,49990.0,0.0,6.0,0.0,2.0
ноутбук игровой msi gf63 thin 11ud-222xru,0.0,0.0,27,2,1,13,12.0,5.0,1.0,8.0,73,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,8.0,1.86,83990.0,1.0,8.0,0.0,2.0
"ноутбук игровой gigabyte aero 17 17.3""",0.0,1.0,35,2,1,18,24.0,4.3,0.0,14.0,77,0.0,1.0,0,0.0,0.0,20.0,2,0,1000.0,0.0,120.0,9,16.0,2.6,184990.0,1.0,6.0,0.0,2.0
ноутбук msi summit e14 evo a12m-066ru,0.0,0.0,62,2,1,6,24.0,4.8,0.0,12.0,44,0.0,1.0,0,0.0,0.0,16.0,1,0,0.0,4.0,0.0,9,16.0,1.6,79990.0,0.0,4.0,0.0,0.0
ноутбук игровой msi pulse gl76 12uck-279xru,0.0,0.0,29,2,1,18,12.0,4.5,1.0,12.0,46,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,8.0,2.66,89990.0,1.0,4.0,0.0,2.0
ноутбук huawei matebook d 14 nbd-wdi9,0.0,0.0,64,2,1,6,12.0,5.0,1.0,2.0,25,0.0,1.0,0,0.0,0.0,4.0,2,0,250.0,4.0,60.0,10,8.0,1.38,41990.0,0.0,2.0,0.0,0.0
ноутбук игровой msi titan gt77 12uhs-208ru,0.0,0.0,39,2,1,18,24.0,5.0,0.0,16.0,99,0.0,1.0,0,0.0,0.0,24.0,2,0,0.0,4.0,120.0,9,64.0,3.3,379990.0,1.0,8.0,0.0,2.0
ноутбук lenovo v15-iil,0.0,0.0,64,8,1,13,12.0,4.5,0.0,2.0,23,0.0,1.0,0,0.0,0.0,4.0,2,0,220.0,0.0,60.0,9,8.0,1.85,48990.0,0.0,2.0,0.0,1.0
ноутбук lenovo v15 iml,0.0,0.0,19,8,1,13,12.0,5.0,0.0,4.0,33,0.0,1.0,0,0.0,0.0,8.0,2,5,220.0,2.0,0.0,4,8.0,1.85,47990.0,0.0,4.0,0.0,1.0
"ноутбук chuwi gemibook xpro 14.1""",0.0,0.0,64,2,1,7,12.0,0.0,1.0,4.0,16,0.0,1.0,0,5000.0,0.0,4.0,2,0,250.0,0.0,0.0,9,8.0,1.46,24990.0,0.0,4.0,0.0,0.0
‌,0.0,0.0,64,2,1,13,12.0,0.0,1.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,2.0,60.0,10,8.0,1.8,24990.0,0.0,4.0,0.0,1.0
ноутбук acer aspire 5 a515-56-57x2,0.0,0.0,62,2,1,13,12.0,4.5,1.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,0.0,0.0,60.0,9,8.0,1.65,58990.0,0.0,4.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,64,2,1,13,12.0,5.0,1.0,4.0,33,0.0,1.0,0,4250.0,0.0,8.0,2,0,0.0,0.0,60.0,10,8.0,0.0,40500.0,0.0,4.0,1.0,0.0
ноутбук asus a516ja-bq1918,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,55990.0,0.0,0.0,0.0,0.0
ноутбук asus vivobook 16 x1605za-mb510,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,68990.0,0.0,0.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,8.0,137,0.0,1.0,0,4800.0,0.0,16.0,2,0,0.0,0.0,0.0,10,16.0,1.7,53990.0,0.0,8.0,0.0,2.0
ноутбук игровой asus vivobook pro 15 m6500qh-hn089,0.0,0.0,16,2,1,13,12.0,0.0,1.0,8.0,137,0.0,1.0,0,0.0,0.0,16.0,2,0,250.0,3.0,144.0,10,16.0,1.8,76990.0,1.0,8.0,0.0,0.0
ноутбук hiper workbook n15rp,0.0,0.0,0,5,0,0,0.0,4.5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,39990.0,0.0,0.0,0.0,0.0
ноутбук игровой hasee t8-da9nt,0.0,1.0,32,2,1,14,12.0,4.5,0.0,14.0,98,0.0,1.0,0,3410.0,0.0,20.0,1,0,0.0,0.0,165.0,4,16.0,2.15,131100.0,1.0,6.0,0.0,0.0
ноутбук asus vivobook m515da-bq1255t,0.0,0.0,3,2,1,13,12.0,0.0,1.0,2.0,117,0.0,1.0,0,0.0,0.0,4.0,2,0,250.0,2.0,0.0,9,8.0,1.8,41990.0,0.0,2.0,0.0,0.0
ноутбук adata xpg xenia 15tc,0.0,1.0,62,2,1,13,12.0,5.0,0.0,4.0,70,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,0.0,0.0,4,16.0,1.9,69990.0,0.0,4.0,0.0,0.0
ноутбук digma eve 15 p418,0.0,0.0,66,2,1,13,12.0,0.0,0.0,4.0,113,0.0,1.0,0,5000.0,0.0,4.0,0,0,0.0,0.0,0.0,9,8.0,1.54,31000.0,0.0,4.0,0.0,0.0
ноутбук iru калибр 15tli,0.0,0.0,64,2,1,13,12.0,4.7,1.0,2.0,25,0.0,1.0,0,7200.0,0.0,4.0,2,0,250.0,0.0,0.0,4,8.0,2.0,44700.0,0.0,2.0,2.0,0.0
ноутбук игровой hiper g16,0.0,0.0,0,5,0,0,0.0,5.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,166990.0,0.0,0.0,0.0,0.0
ноутбук lenovo ideapad 3 15itl05,0.0,0.0,64,8,1,13,12.0,0.0,0.0,2.0,25,0.0,1.0,0,0.0,0.0,4.0,2,0,220.0,2.0,0.0,9,8.0,1.7,41990.0,0.0,2.0,0.0,1.0
ноутбук asus vivobook 15 oled k513ea-l13067,0.2,0.0,64,6,1,13,12.0,0.0,1.0,2.0,25,0.0,1.0,0,4200.0,0.0,4.0,2,0,600.0,3.0,60.0,10,8.0,1.8,57790.0,0.0,2.0,0.0,1.0
ноутбук asus vivobook 15 oled k513ea-l11950,0.2,0.0,62,6,1,13,12.0,5.0,1.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,0,0,600.0,3.0,0.0,10,16.0,1.8,64110.0,0.0,4.0,0.0,0.0
ноутбук игровой msi gf63 thin 11ud-220ru,0.0,0.0,27,2,1,13,12.0,1.0,1.0,8.0,73,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,9,8.0,1.86,91990.0,1.0,8.0,0.0,2.0
ноутбук игровой asus tuf gaming f15 fx506heb-hn155,0.0,1.0,27,2,1,13,12.0,3.0,0.0,6.0,39,0.0,1.0,0,0.0,0.0,12.0,0,0,250.0,4.0,144.0,10,8.0,2.3,74990.0,1.0,6.0,0.0,2.0
ноутбук acer aspire 3 a315-24p-r16w,0.0,0.0,3,2,1,13,12.0,0.0,1.0,4.0,121,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,3,8.0,1.8,42740.0,0.0,4.0,0.0,0.0
ноутбук игровой msi pulse gl66 12uck-696xru,0.0,0.0,29,2,1,13,12.0,1.0,1.0,12.0,46,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,4,8.0,2.25,72990.0,1.0,4.0,0.0,2.0
ноутбук игровой asus vivobook pro 16x oled n7600pc-l2012w,0.2,0.0,29,6,1,14,12.0,5.0,0.0,4.0,36,0.0,1.0,0,0.0,0.0,8.0,1,0,550.0,6.0,60.0,9,16.0,1.95,114990.0,1.0,4.0,0.0,0.0
ноутбук acer aspire 3 a315-59-36c1 slim,0.0,0.0,64,2,1,13,12.0,0.0,0.0,6.0,26,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,3,8.0,1.77,49760.0,0.0,2.0,0.0,0.0
ноутбук samsung galaxy book np750,0.0,0.0,62,5,1,13,12.0,5.0,2.0,4.0,70,0.0,1.0,0,0.0,0.0,8.0,2,1,300.0,0.0,0.0,9,16.0,1.55,76990.0,0.0,4.0,0.0,0.0
ноутбук adata xpg xenia 15tc,0.0,1.0,62,2,1,13,12.0,5.0,0.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,0.0,0.0,4,16.0,1.9,64990.0,0.0,4.0,0.0,0.0
ноутбук honor magicbook 14,0.0,0.0,3,2,1,6,12.0,4.0,1.0,6.0,125,0.0,1.0,0,0.0,0.0,12.0,2,0,300.0,4.0,60.0,9,8.0,1.38,51990.0,0.0,6.0,0.0,0.0
ноутбук hiper dzen mtl1569,0.0,0.0,21,2,1,13,12.0,5.0,1.0,4.0,70,0.0,1.0,0,5700.0,0.0,8.0,2,0,250.0,0.0,60.0,9,16.0,1.7,81990.0,0.0,4.0,0.0,2.0
ноутбук adata xpg xenia 14,0.0,1.0,62,2,1,6,12.0,4.8,0.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,400.0,0.0,60.0,9,16.0,0.97,74990.0,0.0,4.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,1.0,2.0,6.0,127,0.0,1.0,0,4800.0,0.0,12.0,2,0,0.0,0.0,0.0,10,8.0,1.7,43990.0,0.0,6.0,0.0,2.0
ноутбук asus a516jp-ej463,0.0,0.0,19,8,1,13,12.0,0.0,1.0,4.0,67,0.0,1.0,0,0.0,0.0,8.0,2,0,200.0,2.0,60.0,10,16.0,1.8,54990.0,0.0,4.0,0.0,1.0
ноутбук asus vivobook x712ja-au784,0.0,0.0,64,2,1,18,12.0,0.0,1.0,2.0,23,0.0,1.0,0,0.0,0.0,4.0,2,0,250.0,2.0,60.0,10,8.0,2.3,49990.0,0.0,2.0,0.0,0.0
ноутбук игровой hiper g16,5.0,0.0,36,2,1,15,12.0,5.0,1.0,6.0,35,0.0,1.0,0,5040.0,0.0,12.0,2,0,300.0,0.0,144.0,10,16.0,2.7,138990.0,1.0,6.0,0.0,2.0
ноутбук игровой hiper g16,5.0,0.0,36,2,1,15,12.0,4.5,1.0,8.0,72,0.0,1.0,0,5040.0,0.0,16.0,2,0,300.0,0.0,144.0,9,16.0,2.7,167990.0,1.0,8.0,0.0,2.0
ноутбук игровой asus a571lh-bq454,0.0,0.0,16,2,1,13,12.0,0.0,1.0,8.0,69,0.0,1.0,0,0.0,0.0,16.0,2,0,250.0,3.0,60.0,10,16.0,2.14,85290.0,1.0,8.0,0.0,1.0
ноутбук apple macbook pro a2485,0.0,0.0,0,5,1,16,12.0,0.0,0.0,10.0,5,0.0,1.0,0,0.0,0.0,10.0,1,5,1600.0,0.0,120.0,7,16.0,2.15,236990.0,0.0,8.0,0.0,0.0
ноутбук asus a416ja-eb1184,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0,0.0,1.6,43990.0,0.0,0.0,0.0,0.0
ноутбук игровой msi raider ge67hx 12uhs-099ru,1.0,1.0,39,6,1,13,24.0,0.0,0.0,16.0,99,0.0,1.0,0,0.0,0.0,24.0,2,0,0.0,4.0,240.0,9,32.0,2.38,269990.0,1.0,8.0,0.0,2.0
ноутбук игровой asus tuf gaming a17 fa707rr-hx001,0.0,0.0,36,2,1,18,12.0,0.0,2.0,8.0,141,0.0,1.0,0,0.0,0.0,16.0,2,0,250.0,4.0,144.0,10,16.0,2.6,183790.0,1.0,8.0,0.0,2.0
ноутбук lenovo ideapad 3 15itl6,0.0,0.0,64,2,1,13,12.0,0.0,1.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,300.0,2.0,60.0,10,8.0,1.65,60160.0,0.0,4.0,0.0,1.0
ноутбук hiper workbook n15rp,0.0,0.0,10,2,1,13,12.0,4.3,1.0,4.0,122,0.0,1.0,0,6000.0,0.0,8.0,2,0,250.0,0.0,60.0,9,8.0,1.7,48430.0,0.0,4.0,0.0,2.0
ноутбук игровой msi prestige 16 evo a12m-093ru,0.0,0.0,62,2,1,14,12.0,4.6,0.0,12.0,44,0.0,1.0,0,0.0,0.0,16.0,1,0,0.0,4.0,165.0,9,16.0,1.9,89990.0,1.0,4.0,0.0,0.0
ноутбук apple macbook pro a2485,0.0,0.0,0,5,1,16,12.0,5.0,0.0,10.0,3,0.0,1.0,0,0.0,0.0,10.0,1,5,1600.0,0.0,120.0,7,32.0,2.17,360990.0,0.0,8.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,8.0,137,0.0,1.0,0,4800.0,0.0,16.0,2,0,0.0,0.0,0.0,9,16.0,1.7,62990.0,0.0,8.0,0.0,2.0
ноутбук tcl book 14 go b220g,0.0,0.0,2,8,1,6,12.0,5.0,0.0,8.0,115,0.0,1.0,0,5400.0,0.0,8.0,2,0,250.0,0.0,60.0,9,4.0,1.3,30990.0,0.0,4.0,0.0,0.0
ноутбук apple macbook pro a2442,0.0,0.0,0,2,1,8,12.0,3.0,0.0,8.0,6,0.0,1.0,0,0.0,0.0,8.0,1,2,1600.0,0.0,120.0,7,16.0,1.61,245990.0,0.0,6.0,0.0,0.0
ноутбук huawei matebook d 15 bod-wdi9,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,43990.0,0.0,0.0,0.0,0.0
ноутбук infinix inbook x2 plus xl25,0.0,0.0,62,2,1,13,24.0,5.0,2.0,4.0,41,0.0,1.0,0,0.0,0.0,8.0,2,0,300.0,0.0,0.0,9,8.0,1.6,50990.0,0.0,4.0,0.0,0.0
ноутбук asus vivobook 17 x1704za-au024w,0.0,0.0,64,2,1,18,12.0,0.0,1.0,6.0,26,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,9,8.0,2.1,62990.0,0.0,2.0,0.0,1.0
ноутбук apple macbook pro a2485,0.0,0.0,0,5,1,16,12.0,0.0,0.0,10.0,3,0.0,1.0,0,0.0,0.0,10.0,1,5,1600.0,0.0,120.0,7,32.0,2.17,330990.0,0.0,8.0,0.0,0.0
ноутбук игровой hiper g16,5.0,0.0,36,2,1,15,12.0,4.5,1.0,6.0,35,0.0,1.0,0,5040.0,0.0,12.0,2,0,300.0,0.0,144.0,10,16.0,2.7,146990.0,1.0,6.0,0.0,2.0
ноутбук infinix inbook x2 plus xl25,0.0,0.0,62,2,1,13,24.0,0.0,2.0,4.0,41,0.0,1.0,0,0.0,0.0,8.0,2,0,300.0,0.0,0.0,9,8.0,1.6,50990.0,0.0,4.0,0.0,0.0
ноутбук asus x415ka-ek070w,0.0,0.0,64,8,1,6,12.0,0.0,1.0,4.0,114,0.0,1.0,0,0.0,0.0,4.0,2,0,220.0,2.0,0.0,9,4.0,1.6,31370.0,0.0,4.0,0.0,1.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,4.7,2.0,6.0,127,0.0,1.0,0,4800.0,0.0,12.0,2,0,0.0,0.0,0.0,9,16.0,1.7,50990.0,0.0,6.0,0.0,2.0
ноутбук игровой msi bravo 15 b5dd-414xru,0.0,0.0,6,2,1,13,12.0,0.0,1.0,6.0,126,0.0,1.0,0,0.0,0.0,12.0,2,0,0.0,0.0,144.0,4,16.0,2.35,67990.0,1.0,6.0,0.0,2.0
ноутбук iru калибр 15рh,0.0,0.0,10,2,1,13,12.0,0.0,0.0,4.0,122,0.0,1.0,0,4500.0,0.0,8.0,0,0,0.0,0.0,0.0,9,8.0,1.8,38000.0,0.0,4.0,1.0,0.0
ноутбук acer aspire 3 a315-59-55nk slim,0.0,0.0,62,2,1,13,12.0,0.0,0.0,10.0,42,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,60.0,3,16.0,1.77,67810.0,0.0,2.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,8.0,138,0.0,1.0,0,4800.0,0.0,16.0,2,0,0.0,0.0,0.0,10,16.0,1.7,55990.0,0.0,8.0,0.0,2.0
ноутбук asus vivobook 16x m1603qa-mb219,0.0,0.0,3,2,1,14,12.0,5.0,1.0,8.0,137,0.0,1.0,0,0.0,0.0,16.0,1,0,300.0,3.0,60.0,10,16.0,1.88,65990.0,0.0,8.0,0.0,1.0
ноутбук huawei matebook d 15 bode-wdh9,0.0,0.0,62,2,1,13,12.0,5.0,0.0,4.0,41,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,4.0,0.0,9,8.0,1.56,51990.0,0.0,4.0,0.0,0.0
ноутбук игровой msi stealth 17m a12ue-041ru,0.0,1.0,32,2,1,18,12.0,4.0,0.0,12.0,43,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,4.0,144.0,9,16.0,2.2,119990.0,1.0,4.0,0.0,2.0
ноутбук asus a516jf-br329,0.0,0.0,18,8,1,13,12.0,0.0,1.0,2.0,109,0.0,1.0,0,0.0,0.0,4.0,2,0,200.0,2.0,0.0,10,8.0,1.8,38990.0,0.0,2.0,0.0,0.0
ноутбук apple macbook air a2681,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,188670.0,0.0,0.0,0.0,0.0
ноутбук игровой lenovo legion s7 15ach6,3.0,2.0,27,2,1,13,12.0,0.0,0.0,6.0,126,0.0,1.0,0,0.0,0.0,12.0,2,0,300.0,4.0,165.0,10,16.0,1.9,104990.0,1.0,6.0,0.0,2.0
ноутбук игровой asus tuf gaming f15 fx506hc-hn011,0.0,1.0,29,2,1,13,12.0,0.0,0.0,6.0,39,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,144.0,10,8.0,2.3,84290.0,1.0,6.0,0.0,2.0
ноутбук asus x515jf-br240,0.0,1.0,18,8,1,13,12.0,5.0,0.0,2.0,109,0.0,1.0,0,0.0,0.0,4.0,2,0,200.0,2.0,0.0,10,4.0,1.8,40990.0,0.0,2.0,0.0,1.0
ноутбук игровой msi pulse gl76 12uck-277ru,0.0,0.0,29,2,1,18,12.0,5.0,1.0,12.0,46,0.0,1.0,0,0.0,0.0,16.0,2,0,0.0,3.0,144.0,9,8.0,2.66,92990.0,1.0,4.0,0.0,2.0
ноутбук acer aspire 3 a315-59-7868 slim,0.0,0.0,62,2,1,13,12.0,0.0,0.0,10.0,74,0.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,0.0,3,16.0,1.77,64960.0,0.0,2.0,0.0,0.0
ноутбук lenovo ideapad 3 15iau7,0.0,0.0,62,2,1,13,12.0,0.0,1.0,10.0,74,0.0,1.0,0,0.0,0.0,12.0,2,0,300.0,0.0,60.0,10,16.0,1.63,72990.0,0.0,2.0,0.0,1.0
ноутбук adata xpg xenia xe,0.0,0.0,62,2,1,13,12.0,5.0,0.0,4.0,71,0.0,1.0,0,0.0,1.0,8.0,2,0,0.0,0.0,60.0,9,16.0,1.65,119990.0,0.0,4.0,0.0,0.0
ноутбук acer aspire 3 a315-35-p5rw,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,43550.0,0.0,0.0,0.0,0.0
ноутбук игровой gigabyte g5,0.0,0.0,0,5,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,89990.0,0.0,0.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,2.0,2.0,8.0,138,0.0,1.0,0,4800.0,0.0,16.0,2,0,0.0,0.0,0.0,9,16.0,1.7,58990.0,0.0,8.0,0.0,2.0
ноутбук rombica mybook eclipse,0.0,0.0,64,2,1,13,12.0,0.0,1.0,4.0,33,0.0,1.0,0,4825.0,0.0,8.0,2,0,0.0,0.0,0.0,10,8.0,1.86,40990.0,0.0,4.0,0.0,0.0
ноутбук adata xpg xenia 15tc,0.0,1.0,62,2,1,13,12.0,4.7,0.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,0.0,0.0,4,8.0,1.9,54990.0,0.0,4.0,0.0,0.0
ноутбук asus a516jf-br330,0.0,0.0,18,8,1,13,12.0,0.0,1.0,2.0,109,0.0,1.0,0,0.0,0.0,4.0,2,0,200.0,2.0,0.0,10,8.0,1.8,38990.0,0.0,2.0,0.0,0.0
ноутбук rombica mybook eclipse,0.0,0.0,64,2,1,13,12.0,0.0,1.0,4.0,33,0.0,1.0,0,4825.0,0.0,8.0,2,0,0.0,0.0,0.0,10,16.0,1.86,41990.0,0.0,4.0,0.0,0.0
ноутбук игровой acer nitro 5 an515-46-r3qn,0.0,1.0,29,2,1,13,12.0,0.0,0.0,6.0,129,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,4.0,144.0,3,8.0,2.0,80240.0,1.0,6.0,0.0,0.0
ноутбук asus a516jf-bq328,0.0,0.0,18,2,1,13,12.0,0.0,1.0,2.0,109,0.0,1.0,0,0.0,0.0,4.0,2,0,250.0,2.0,0.0,10,8.0,1.8,42680.0,0.0,2.0,0.0,1.0
ноутбук игровой msi prestige 15 a12ud-223ru,0.0,0.0,27,2,1,13,12.0,5.0,0.0,14.0,79,0.0,1.0,0,0.0,0.0,20.0,2,0,0.0,4.0,60.0,9,16.0,1.69,155990.0,1.0,6.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,8.0,143,0.0,1.0,0,4800.0,0.0,16.0,2,0,0.0,0.0,0.0,10,16.0,1.7,67990.0,0.0,8.0,0.0,2.0
ноутбук игровой msi stealth gs77 12uhs-030ru,0.0,1.0,39,2,1,18,24.0,0.0,0.0,14.0,98,0.0,1.0,0,0.0,0.0,20.0,2,0,0.0,4.0,120.0,9,64.0,2.8,325990.0,1.0,6.0,0.0,2.0
ноутбук игровой hiper g16,5.0,0.0,36,2,1,15,12.0,5.0,1.0,8.0,72,0.0,1.0,0,5040.0,0.0,16.0,2,0,300.0,0.0,144.0,9,16.0,2.7,180990.0,1.0,8.0,0.0,2.0
ноутбук acer aspire 5 a515-57-52nv,0.0,1.0,62,2,1,13,12.0,4.5,0.0,10.0,42,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,60.0,3,8.0,1.65,67560.0,0.0,2.0,0.0,0.0
ноутбук samsung galaxy book np750,0.0,0.0,62,5,1,13,12.0,5.0,2.0,4.0,38,0.0,1.0,0,0.0,0.0,8.0,0,1,300.0,0.0,0.0,9,8.0,1.55,59990.0,0.0,4.0,0.0,0.0
"ноутбук chuwi minibook x 10.8""",0.0,0.0,64,2,1,2,12.0,0.0,1.0,4.0,22,0.0,1.0,0,3800.0,1.0,4.0,1,0,250.0,0.0,0.0,9,12.0,0.98,35990.0,0.0,4.0,0.0,0.0
ноутбук hp 15-dw4000nia,0.0,0.0,22,2,1,13,12.0,0.0,1.0,10.0,42,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,0.0,4,8.0,1.75,61990.0,0.0,2.0,0.0,0.0
ноутбук acer aspire 3 a315-59-77hy slim,0.0,0.0,62,2,1,13,12.0,0.0,0.0,10.0,74,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,60.0,9,16.0,1.77,89600.0,0.0,2.0,0.0,0.0
ноутбук rombica mybook zenith,0.0,0.0,3,2,1,13,12.0,5.0,2.0,4.0,119,0.0,1.0,0,4800.0,0.0,8.0,2,0,0.0,0.0,0.0,10,8.0,1.7,40990.0,0.0,4.0,0.0,2.0
ноутбук hp 15s-fq5035nz,0.0,0.0,62,2,1,13,12.0,0.0,0.0,10.0,74,0.0,1.0,0,0.0,0.0,12.0,2,0,250.0,3.0,0.0,4,8.0,1.69,59830.0,0.0,2.0,0.0,0.0
ноутбук acer aspire 3 a315-24p-r2uh,0.0,0.0,3,2,1,13,12.0,0.0,1.0,4.0,121,0.0,1.0,0,0.0,0.0,8.0,2,0,250.0,3.0,60.0,9,8.0,1.8,53990.0,0.0,4.0,0.0,0.0
