Название,Время отклика,Порты USB 3.1 (Type-C),Графический,Тип матрицы,Веб-камера,Диагональ экрана,Гарантия,Рейтинг,Порты USB 3.0 (Type-C),Количество ядер,Процессор,Количество отзывов,Подсветка клавиш,Выходная мощность адаптера питания,Емкость,Сенсорный,Максимальное число потоков,Соотношение сторон,Тип вилки,Яркость,Количество ячеек,Частота обновления,Операционная система,Объем оперативной памяти,Вес,Цена,Для геймеров,Количество высокопроизводительных ядер,Порты USB 3.2 (Type-C),Количество слотов оперативной
ноутбук игровой adata xpg xenia 15kc,0.0,0.0,36,2,1,13,12.0,4.8,0.0,8.0,73,11.0,1.0,0,0.0,0.0,16.0,2,0,300.0,0.0,165.0,9,32.0,1.94,109191.0,1.0,8.0,0.0,2.0
ноутбук digma pro fortis m,0.0,0.0,9,2,1,13,12.0,4.7,1.0,6.0,127,12.0,1.0,0,4250.0,0.0,12.0,2,0,0.0,0.0,0.0,9,8.0,0.0,47000.0,0.0,6.0,1.0,0.0
ноутбук huawei matebook d 14 nbd-wdi9,0.0,0.0,64,2,1,6,12.0,4.7,1.0,2.0,25,7.0,1.0,0,0.0,0.0,4.0,2,0,250.0,4.0,60.0,9,8.0,1.38,43990.0,0.0,2.0,0.0,0.0
ноутбук asus vivobook x515ea-ej1413,0.0,0.0,64,8,1,13,12.0,5.0,1.0,2.0,110,17.0,1.0,0,0.0,0.0,4.0,2,0,200.0,2.0,60.0,10,8.0,1.8,34690.0,0.0,2.0,0.0,1.0
ноутбук msi modern 14 c5m-011xru,0.0,1.0,3,2,1,6,12.0,4.2,0.0,6.0,128,16.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,60.0,4,8.0,1.4,45990.0,0.0,6.0,0.0,0.0
ноутбук digma eve 15 c423,0.0,0.0,10,2,1,13,12.0,4.3,1.0,4.0,122,12.0,1.0,0,4000.0,0.0,8.0,2,0,0.0,0.0,0.0,9,8.0,1.7,34571.0,0.0,4.0,0.0,0.0
ноутбук xiaomi redmibook pro,0.0,0.0,0,5,0,0,0.0,4.7,0.0,0.0,0,5.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,1.79,112010.0,0.0,0.0,0.0,0.0
ноутбук chuwi corebook xpro,0.0,0.0,64,2,1,13,12.0,4.9,1.0,4.0,33,18.0,1.0,0,6060.0,0.0,8.0,2,0,0.0,0.0,0.0,9,8.0,1.78,44990.0,0.0,4.0,0.0,0.0
ноутбук chuwi corebook 14,0.0,0.0,59,2,1,6,12.0,4.6,1.0,4.0,34,14.0,1.0,0,4000.0,0.0,8.0,1,0,0.0,0.0,0.0,9,8.0,1.5,38990.0,0.0,4.0,0.0,0.0
ноутбук digma eve 15 c423,0.0,0.0,8,2,1,13,12.0,4.4,1.0,2.0,116,4.0,1.0,0,4000.0,0.0,4.0,2,0,0.0,0.0,0.0,9,16.0,1.7,41500.0,0.0,2.0,0.0,0.0
ноутбук digma pro fortis m,0.0,0.0,64,2,1,13,12.0,4.6,1.0,6.0,68,4.0,1.0,0,4250.0,0.0,12.0,2,0,0.0,0.0,60.0,9,16.0,1.87,59600.0,0.0,6.0,1.0,0.0
ноутбук asus vivobook 15 m1502i,0.0,0.0,3,2,1,13,12.0,4.8,1.0,6.0,124,8.0,1.0,0,0.0,0.0,12.0,2,0,0.0,3.0,60.0,10,8.0,1.7,53310.0,0.0,6.0,0.0,0.0
ноутбук digma eve 15 p417,0.0,0.0,66,2,1,13,12.0,4.8,0.0,4.0,113,6.0,1.0,0,5000.0,0.0,4.0,2,0,0.0,0.0,0.0,9,8.0,1.54,30300.0,0.0,4.0,0.0,0.0
