Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 rtx 4090 amp extreme airo 24gb ,159999,3.0,24.0,3.7,355.5,4.0,0.0,1000.0
 rtx 4090 trinity oc 24gb ,147999,10.0,24.0,3.5,356.1,4.0,0.0,1000.0
 rtx 4080 gaming oc 16gb ,113999,8.0,24.0,2.9,342.0,4.0,0.0,850.0
 rtx 4080 eagle 16gb ,109899,5.0,24.0,5.0,342.0,4.0,0.0,850.0
 rtx 4090 tuf gaming oc 24g ,181999,-1.0,36.0,2.9,348.2,4.0,0.0,850.0
 rtx 4090 aorus xtreme waterforce 24gb ,199999,24.0,36.0,4.6,238.0,4.0,0.0,850.0
 rtx 4090 gamerock oc 24gb ,165999,12.0,24.0,3.0,329.4,4.0,0.0,1000.0
 rtx4070ti gamerock classic 12gb ,79999,8.0,36.0,3.5,313.0,0.0,0.0,750.0
 rtx 4070ti trinity 12gb ,96999,7.0,24.0,3.9,306.8,4.0,0.0,750.0
 rtx 4070ti trinity 12gb ,0,1.0,0.0,4.7,0.0,0.0,0.0,0.0
видеокарта asus tuf-rtx4080-o16g-gaming,137999,8.0,36.0,4.4,348.0,0.0,0.0,750.0
видеокарта asus tuf-rtx4070ti-o12g-gaming,94999,7.0,36.0,4.6,305.0,0.0,0.0,750.0
видеокарта palit rtx4080 gamingpro 16gb,103999,24.0,36.0,2.2,329.0,0.0,0.0,850.0
видеокарта gigabyte rtx4070ti gaming oc 12gb,93999,10.0,12.0,3.3,336.0,0.0,0.0,750.0
видеокарта asus rog-strix-rtx4080-16g-gaming,145999,10.0,36.0,5.0,326.5,0.0,0.0,750.0
видеокарта gigabyte radeon rx 7900 xtx gaming oc 24g ,99999,19.0,12.0,5.0,331.0,0.0,0.0,850.0
видеокарта asus dual radeon rx 6700 xt 12g ,59290,13.0,36.0,4.0,295.0,4.0,0.0,650.0
видеокарта gigabyte radeon rx 6700 xt eagle 12g ,65990,15.0,36.0,3.5,282.0,4.0,0.0,650.0
 rtx 4070 ti 12gb gddr6x ,101999,15.0,36.0,5.0,305.0,4.0,0.0,750.0
 rtx 4080 16gb nb ex-v,121999,14.0,12.0,2.7,327.0,0.0,0.0,750.0
 rtx 4070 ti gaming 12gb ,87499,11.0,36.0,4.7,336.0,4.0,0.0,750.0
 rtx 4070 ti st 1-click oc 12gb ,80499,11.0,24.0,4.1,336.0,0.0,0.0,700.0
 rtx 4090 sg 1-click oc 24gb ,155999,3.0,24.0,3.1,352.0,0.0,0.0,850.0
 rtx 4070 ti gamingpro 12gb gddr6x ,81999,4.0,36.0,4.2,329.0,4.0,0.0,750.0
 rtx 4070 ti gamerock 12gb gddr6x ,82499,11.0,36.0,4.1,329.0,4.0,0.0,750.0
 gtx 760 2gb gv-n760oc-2gd,0,-2.0,36.0,4.8,0.0,4.0,1.0,500.0
видеокарта asus r5 230 1gb low profile silent ,3290,15.0,36.0,3.0,170.0,0.0,0.0,400.0
 gt 1030 2gb phoenix fan oc edition ,11999,11.0,36.0,3.2,184.0,0.0,0.0,300.0
видеокарта asus r5 230 2gb low profile silent ,3790,17.0,36.0,2.0,170.0,0.0,0.0,400.0
видеокарта asus radeon rx 550 2gb gddr5 ,7690,17.0,36.0,3.3,182.0,0.0,0.0,400.0
видеокарта asus dual-gtx1060-o3g,19690,12.0,36.0,2.8,242.0,0.0,0.0,500.0
видеокарта asus ph-gtx1060-3g,21190,5.0,36.0,2.0,183.0,0.0,0.0,400.0
видеокарта asus ph-gtx1060-3g,0,9.0,0.0,3.2,0.0,0.0,0.0,0.0
