Название,Цена,Количество отзывов,Гарантия,Рейтинг,Длина,Количество поддерживаемых мониторов,OverClock,Рекомендуемая мощность блока
 rtx 4080 pa-rtx4080 gamerock omniblack 16гб gddr6x,121490.0,14.0,36.0,4.5,329.4,4.0,0.0,850.0
 gt 710 gv-n710d5-2gl 2гб gddr5,6290.0,10.0,36.0,5.0,147.0,2.0,0.0,300.0
 rtx 4080 pa-rtx4080 gamerock 16гб gddr6x,116790.0,16.0,36.0,4.9,329.4,4.0,0.0,850.0
 gtx 1660super gtx 1660 super ventus xs oc 6гб gddr6,27860.0,13.0,36.0,3.9,204.0,4.0,1.0,450.0
 rtx 3070 pa-rtx3070 gamerock 8g v1 lhr 8гб gddr6,66620.0,11.0,36.0,4.4,304.0,4.0,0.0,650.0
видеокарта gigabyte intel arc a380 gv-ia380wf2oc-6gd 6гб windforce,16870.0,4.0,36.0,4.0,192.0,4.0,1.0,350.0
видеокарта gigabyte amd radeon rx 6650xt gv-r665xteagle-8gd 8гб gddr6,41900.0,13.0,36.0,3.5,282.0,4.0,0.0,500.0
 rtx 4090 pa-rtx4090 gamerock oc 24гб gddr6x,175960.0,14.0,36.0,4.0,329.4,4.0,1.0,1000.0
 rtx 3070 pa-rtx3070 gamingpro 8g v1 lhr 8гб gddr6,55090.0,5.0,36.0,3.5,294.0,4.0,0.0,650.0
 rtx 3060ti gv-n306teagle oc-8gd 2.0 lhr 8гб gddr6,47770.0,14.0,36.0,5.0,245.0,4.0,1.0,600.0
 rtx 4070ti rtx 4070 ti gaming x trio 12g 12гб gddr6x,97410.0,3.0,36.0,2.8,337.0,4.0,0.0,700.0
 gtx 1650 ph-gtx1650-o4gd6-p 4гб gddr6,18850.0,11.0,36.0,4.8,178.0,3.0,1.0,300.0
 gt 1030 gv-n1030oc-2gi 2гб gddr5,9210.0,14.0,36.0,3.9,167.7,2.0,1.0,300.0
 rtx 3050 gv-n3050eagle-8gd 8гб gddr6,28990.0,14.0,36.0,5.0,213.0,4.0,0.0,450.0
видеокарта gigabyte amd radeon rx 6650xt gv-r665xtgaming oc-8gd 8гб gddr6,37500.0,6.0,36.0,4.4,282.0,4.0,1.0,500.0
 rtx 3060ti rtx 3060 ti ventus 3x 8g oc lhr 8гб gddr6,47130.0,16.0,36.0,4.0,316.0,4.0,1.0,600.0
видеокарта gigabyte amd radeon rx 6750xt gv-r675xtaorus e-12gd 12гб aorus elite,53000.0,8.0,36.0,3.7,296.0,4.0,0.0,650.0
 rtx 4080 pa-rtx4080 gamerock oc 16гб gddr6x,122540.0,10.0,36.0,4.6,329.4,4.0,1.0,850.0
 gt 1030 gt 1030 aero itx 2gd4 oc 2гб ddr4,9430.0,18.0,36.0,4.3,147.0,2.0,1.0,300.0
 rtx 4090 gv-n4090gaming oc-24gd 24гб gddr6x,181200.0,3.0,36.0,5.0,340.0,4.0,1.0,1000.0
 gtx 1650 gtx 1650 ventus xs 4g oc 4гб gddr5,17800.0,15.0,36.0,5.0,177.0,3.0,1.0,300.0
 gtx 1050ti gtx 1050 ti 4gt ocv1 4гб gddr5,18020.0,14.0,36.0,2.9,215.0,3.0,0.0,300.0
видеокарта gigabyte intel arc a310 gv-ia310wf2-4gd 4гб windforce,13610.0,1.0,36.0,4.1,192.0,0.0,0.0,350.0
