link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Сокет процессора,Процессор,"Процессор, частота",Количество ядер процессора,Чипсет материнской платы,Оперативная память,Максимальный объем оперативной памяти,Тип графического контроллера,Графика,Объем SSD,Тип кабельной сети (разъем RJ-45),Операционная система,Разъемов PS/2,Разъемов USB 2.0,Разъемов USB 3.0,Разъемов HDMI,Разъемов DisplayPort,Разъем для микрофона,Разъем для наушников,Тип корпуса,Блок питания,Цвет корпуса,Вес товара,Размеры корпуса (ШхВхГ),Гарантийное,Гарантия,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Разъемов D-Sub,Особенности графического контроллера,Поддержка Wi-Fi,Стандарт Wi-Fi,Поддержка Bluetooth,Стандарт Bluetooth,Разъемов USB 3.0 (Type-C),Тип блока питания,Кард-ридер,Разъемов USB 3.1,Разъемов USB 2.0 (Type-C),Разъемов DVI,Разъем наушники/микрофон,Разъемов USB 3.2 (Type-C),Жесткий диск,Разъемов USB 3.1 (Type-C),Отделка корпуса,Особенности оперативной памяти,Особенности жестких дисков,Комплектация,Страна производства,Число ядер GPU,Разъемов Thunderbolt 3,Входное напряжение (мин),Входное напряжение (макс),Тип вилки,Частота энергоэффективных ядер,Количество высокопроизводительных ядер,Количество энергоэффективных ядер,Разрядность ОС,Клавиатура,Клавиатура с русскими буквами,Мышь,Объем второго SSD,Частота электросети,Особенности ОС,Разъемов RS-232,Особенности,Разъемов Thunderbolt 4,Разъемов USB 4.0,Поддержка карт памяти,Экран с поддержкой 3D,Возможность монтажа в стойку,Оптический привод,Монитор в комплекте,Встроенные динамики,Размер крепления VESA,Дополнительно в комплекте,Особенности процессора,Поддержка Intel Optane,Буферная память HDD,Модель монитора,Диагональ экрана,Разрешение экрана,Яркость экрана,Время отклика,Угол обзора
https://www.citilink.ru/product/pk-iru-game-510b5gma-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-dos-chernyi-1859366/,Код товара: 1859366,,"Компьютер iRU Game 510B5GMA, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, Free DOS, черный [1859366]",115 900₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,2,1,1,miditower,650 Вт,черный,7 кг,210 х 459 х 403 мм,Гарантия СЦ производителя,36 мес.,0.52x0.27x0.455 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5gm-mt-i7-11700f-16gb-ssd512gb-geforce-gtx-1630-4gb-do-1858333/,Код товара: 1858333,,"Компьютер iRU Home 310H5GM, Intel Core i7 11700F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1630 - 4096 Мб, Free DOS, черный [1858333]",77 100₽,IRU,LGA 1200,Intel Core i7 11700F,"2.5 ГГц (4.9 ГГц, в режиме Turbo)",8-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1630 - 4096 Мб,512 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,500 Вт,черный,7 кг,210 х 392 х 420 мм,Гарантия СЦ производителя,36 мес.,0.43x0.268x0.475 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5gm-mt-i7-11700f-8gb-ssd512gb-geforce-gtx-1630-4gb-dos-1858330/,Код товара: 1858330,,"Компьютер iRU Home 310H5GM, Intel Core i7 11700F, DDR4 8ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1630 - 4096 Мб, Free DOS, черный [1858330]",72 700₽,IRU,LGA 1200,Intel Core i7 11700F,"2.5 ГГц (4.9 ГГц, в режиме Turbo)",8-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1630 - 4096 Мб,512 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,500 Вт,черный,7 кг,210 х 392 х 420 мм,Гарантия СЦ производителя,36 мес.,0.54x0.25x0.575 м,8.035 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5gm-mt-i3-10105f-16gb-ssd512gb-geforce-gtx-1630-4gb-do-1858310/,5,1,"Компьютер iRU Home 310H5GM, Intel Core i3 10105F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1630 - 4096 Мб, Free DOS, черный [1858310]",55 100₽,IRU,LGA 1200,Intel Core i3 10105F,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1630 - 4096 Мб,512 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),4,2,1,,1,1,miditower,500 Вт,черный,7 кг,210 х 392 х 428 мм,Гарантия СЦ производителя,36 мес.,0.43x0.273x0.477 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-elitedesk-800-g6-sff-i5-10500-16gb-1tb-noos-m-1857765/,Код товара: 1857765,,"Компьютер HP EliteDesk 800 G6, Intel Core i5 10500, DDR4 16ГБ, 1000ГБ, Intel UHD Graphics 630, noOS, черный [6p9e8e8]",97 600₽,HP,,Intel Core i5 10500,"3.1 ГГц (4.5 ГГц, в режиме Turbo)",6-ядерный,Intel Q470,"16 ГБ, DDR4, DIMM, 3200 МГц",,интегрированный,Intel UHD Graphics 630,,,noOS,,4,4,,2,,,small form factor,260 Вт,черный,,338 х 100 х 308 мм,Гарантия продавца,12 мес.,0.491x0.392x0.22 м,7.46 кг,1,,,,,,,,,,,,1,,"1000 ГБ, SATA",,,,,,,,,,,,,,,,,,в комплекте,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-prodesk-400-g7-mt-i3-10100-8gb-ssd256gb-uhdg-630-dvdrw-cr-w10pro-1857448/,Код товара: 1857448,,"Компьютер HP ProDesk 400 G7, Intel Core i3 10100, DDR4 8ГБ, 256ГБ(SSD), Intel UHD Graphics 630, DVD-RW, CR, Windows 10 Professional, черный [11m77ea]",101 470₽,HP,,Intel Core i3 10100,"3.6 ГГц (4.3 ГГц, в режиме Turbo)",4-ядерный,Intel Q470,"8 ГБ, DDR4, DIMM, 2666 МГц",,интегрированный,Intel UHD Graphics 630,256 ГБ,Gigabit Ethernet,Windows 10 Professional,,4,3,1,1,,,microtower,,черный,5 кг,155 х 337 х 303 мм,Гарантия продавца,12 мес.,0.495x0.395x0.275 м,9.5 кг,,,,,,,,внутренний,встроенный,2 шт,,,1,,,,,,,,,,,,,,,,,64-bit,в комплекте,с русскими буквами,в комплекте,,,,,,,,SD,,,DVD-RW,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-prodesk-400-g6-mini-i5-10500t-8gb-ssd256gb-uhdg-630-dos-m-cherny-1857442/,Код товара: 1857442,,"Компьютер HP ProDesk 400 G6, Intel Core i5 10500T, DDR4 8ГБ, 256ГБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1c6z1ea]",72 650₽,HP,,Intel Core i5 10500T,"2.3 ГГц (3.8 ГГц, в режиме Turbo)",6-ядерный,Intel Q470,"8 ГБ, DDR4, SO-DIMM, 2666 МГц",,интегрированный,Intel UHD Graphics 630,256 ГБ,Gigabit Ethernet,Free DOS,,2,3,1,1,,,desktop mini,65 Вт,черный,1.25 кг,177 х 34 х 175 мм,Гарантия продавца,12 мес.,0.495x0.235x0.129 м,2.9 кг,,,,,,,,внешний,,1 шт,,,1,,,1,,,,,,,,,,,,,,,,,в комплекте,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-295-g8-mt-ryzen-7-5700g-8gb-ssd512gb-rgr-w10pro64-m-chernyi-1857440/,Код товара: 1857440,,"Компьютер HP 295 G8, AMD Ryzen 7 5700G, DDR4 8ГБ, 512ГБ(SSD), AMD Radeon Graphics, Windows 10 Professional, черный [47m50ea]",107 720₽,HP,,AMD Ryzen 7 5700G,"3.8 ГГц (4.6 ГГц, в режиме Turbo)",8-ядерный,AMD PRO 565,"8 ГБ, DDR4, 3200 МГц",,интегрированный,AMD Radeon Graphics,512 ГБ,Gigabit Ethernet,Windows 10 Professional,,4,4,1,,,,microtower,,черный,5.52 кг,155 х 337 х 297 мм,Гарантия продавца,12 мес.,0.488x0.399x0.28 м,9.5 кг,1,,,,,,,внутренний,,,,,1,,,,,,,,,,,,,,,,,64-bit,,,в комплекте,,,,1,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-295-g8-mt-ryzen-7-5700g-8gb-ssd256gb-rgr-w10pro64-m-chernyi-1857437/,Код товара: 1857437,,"Компьютер HP 295 G8, AMD Ryzen 7 5700G, DDR4 8ГБ, 256ГБ(SSD), AMD Radeon Graphics, Windows 10 Professional, черный [47m49ea]",105 440₽,HP,,AMD Ryzen 7 5700G,"3.8 ГГц (4.6 ГГц, в режиме Turbo)",8-ядерный,AMD PRO 565,"8 ГБ, DDR4, 3200 МГц",,интегрированный,AMD Radeon Graphics,256 ГБ,Gigabit Ethernet,Windows 10 Professional,,4,4,1,,,,microtower,,черный,5.52 кг,155 х 337 х 297 мм,Гарантия продавца,12 мес.,0.492x0.398x0.275 м,9.5 кг,1,,,,,,,внутренний,,,,,1,,,,,,,,,,,,,,,,,64-bit,,,в комплекте,,,,1,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-295-g8-mt-ryzen-5-5600g-8gb-ssd256gb-rgr-w10pro64-m-chernyi-1857434/,Код товара: 1857434,,"Компьютер HP 295 G8, AMD Ryzen 5 5600G, DDR4 8ГБ, 256ГБ(SSD), AMD Radeon Graphics, Windows 10 Professional, черный [47m45ea]",93 960₽,HP,,AMD Ryzen 5 5600G,"3.9 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,AMD PRO 565,"8 ГБ, DDR4, 3200 МГц",,интегрированный,AMD Radeon Graphics,256 ГБ,Gigabit Ethernet,Windows 10 Professional,,4,4,1,,,,microtower,,черный,5.52 кг,155 х 337 х 297 мм,Гарантия продавца,12 мес.,0.496x0.394x0.275 м,9.5 кг,1,,,,,,,внутренний,,,,,1,,,,,,,,,,,,,,,,,64-bit,,,в комплекте,,,,1,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-295-g8-mt-ryzen-3-5300g-8gb-ssd256gb-rgr-w10pro64-m-chernyi-1857419/,Код товара: 1857419,,"Компьютер HP 295 G8, AMD Ryzen 3 5300G, DDR4 8ГБ, 256ГБ(SSD), AMD Radeon Graphics, Windows 10 Professional, черный [47m44ea]",90 390₽,HP,,AMD Ryzen 3 5300G,"4.0 ГГц (4.2 ГГц, в режиме Turbo)",4-ядерный,AMD PRO 565,"8 ГБ, DDR4, 3200 МГц",,интегрированный,AMD Radeon Graphics,256 ГБ,Gigabit Ethernet,Windows 10 Professional,,4,4,1,,,,microtower,,черный,5.52 кг,155 х 337 х 297 мм,Гарантия продавца,12 мес.,0.495x0.395x0.275 м,9.5 кг,1,,,,,,,внутренний,,,,,1,,,,,,,,,,,,,,,,,64-bit,,,в комплекте,,,,1,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-510b5gs-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-dos-chernyi-1856633/,Код товара: 1856633,,"Компьютер iRU Game 510B5GS, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, Free DOS, черный [1856633]",88 700₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,2,1,1,miditower,700 Вт,черный,7 кг,185 х 305 х 390 мм,Гарантия СЦ производителя,36 мес.,0.46x0.28x0.38 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
