link,Рейтинг,Количество отзывов,Название,Цена,Бренд,Сокет процессора,Процессор,"Процессор, частота",Количество ядер процессора,Чипсет материнской платы,Оперативная память,Максимальный объем оперативной памяти,Тип графического контроллера,Графика,Объем SSD,Тип кабельной сети (разъем RJ-45),Операционная система,Разъемов PS/2,Разъемов USB 2.0,Разъемов USB 3.0,Разъемов HDMI,Разъемов DisplayPort,Разъем для микрофона,Разъем для наушников,Тип корпуса,Блок питания,Цвет корпуса,Вес товара,Размеры корпуса (ШхВхГ),Гарантийное,Гарантия,Габариты упаковки (ед) ДхШхВ,Вес упаковки (ед),Разъемов D-Sub,Особенности графического контроллера,Поддержка Wi-Fi,Стандарт Wi-Fi,Поддержка Bluetooth,Стандарт Bluetooth,Разъемов USB 3.0 (Type-C),Тип блока питания,Кард-ридер,Разъемов USB 3.1,Разъемов USB 2.0 (Type-C),Разъемов DVI,Разъем наушники/микрофон,Разъемов USB 3.2 (Type-C),Жесткий диск,Разъемов USB 3.1 (Type-C),Отделка корпуса,Особенности оперативной памяти,Особенности жестких дисков,Комплектация,Страна производства,Число ядер GPU,Разъемов Thunderbolt 3,Входное напряжение (мин),Входное напряжение (макс),Тип вилки,Частота энергоэффективных ядер,Количество высокопроизводительных ядер,Количество энергоэффективных ядер,Разрядность ОС,Клавиатура,Клавиатура с русскими буквами,Мышь,Объем второго SSD,Частота электросети,Особенности ОС,Разъемов RS-232,Особенности,Разъемов Thunderbolt 4,Разъемов USB 4.0,Поддержка карт памяти,Экран с поддержкой 3D,Возможность монтажа в стойку,Оптический привод,Монитор в комплекте,Встроенные динамики,Размер крепления VESA,Дополнительно в комплекте,Особенности процессора,Поддержка Intel Optane,Буферная память HDD,Модель монитора,Диагональ экрана,Разрешение экрана,Яркость экрана,Время отклика,Угол обзора
https://www.citilink.ru/product/pk-iru-game-310h5gma-mt-i5-11400f-16gb-ssd1tb-rtx3060-12gb-dos-chernyi-1859665/,4.8,32,"Компьютер iRU Game 310H5GMA, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3060 - 12288 Мб, Free DOS, черный [1859665]",89 300₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3060 - 12288 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,650 Вт,черный,7 кг,210 х 495 х 403 мм,Гарантия СЦ производителя,36 мес.,0.5x0.26x0.46 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i3-10105-8gb-ssd240gb-uhdg-630-dos-chernyi-1788608/,4.7,19,"Компьютер iRU Home 310H5SE, Intel Core i3 10105, DDR4 8ГБ, 240ГБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1788608]",31 400₽,IRU,LGA 1200,Intel Core i3 10105,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H470,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 630,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.525x0.255x0.566 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-310h5gs-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-dos-chernyi-1863687/,5,9,"Компьютер iRU Game 310H5GS, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, Free DOS, черный [1863687]",86 500₽,,,,,,,,,,,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,3,1,1,miditower,500 Вт,черный,7 кг,185 х 305 х 390 мм,Гарантия СЦ производителя,36 мес.,0.46x0.27x0.37 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i3-10105-16gb-ssd240gb-uhdg-630-dos-chernyi-1793514/,4.6,5,"Компьютер iRU Home 310H5SE, Intel Core i3 10105, DDR4 16ГБ, 240ГБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1793514]",33 600₽,IRU,LGA 1200,Intel Core i3 10105,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 630,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.526x0.25x0.58 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-s3-12th-606xru-mt-i5-12400f-16gb-ssd512gb-rtx3050-8gb-1856653/,,,‌,33 600₽,MSI,,Intel Core i5 12400F,"2.5 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H610,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,512 ГБ,Gigabit Ethernet,noOS,1 (комбинированный),4,3,1,3,1,1,minitower,500 Вт,черный,7.73 кг,173.8 х 407.17 х 446.97 мм,Гарантия СЦ производителя,12 мес.,0.588x0.319x0.51 м,10.12 кг,,установлена видеокарта MSI GeForce RTX 3050 VENTUS 2X 8G OC,есть,802.11 a/b/g/n/ac,есть,v4.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-hp-pavilion-tg01-2017ur-mt-i5-11400f-16gb-ssd512gb-rtx3060ti-8gb-cr-1549847/,5,2,"Компьютер HP Pavilion TG01-2017ur, Intel Core i5 11400F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce RTX 3060Ti - 8192 Мб, CR, Free DOS 3.0, черный [42v08ea]",101 500₽,HP,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H570,"16 ГБ, DDR4, DIMM, 2933 МГц",,дискретный,NVIDIA GeForce RTX 3060Ti - 8192 Мб,512 ГБ,Gigabit Ethernet,Free DOS 3.0,,4,2,1,,,,tower,500 Вт,черный,5.96 кг,155.4 х 337.4 х 303 мм,Гарантия продавца,12 мес.,0.491x0.4x0.28 м,13.6 кг,,,есть,802.11 a/b/g/n/ac,есть,v5.0,,внутренний,встроенный,2 шт,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-creator-p50-11si-232xru-mt-i5-11400-16gb-ssd512gb-gtx1660-super-1794798/,4.8,5,"Компьютер MSI Creator P50 11SI-232XRU, Intel Core i5 11400, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1660 Super - 6144 Мб, noOS, белый [9s6-b93712-232]",93 800₽,MSI,,Intel Core i5 11400,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1660 Super - 6144 Мб,512 ГБ,Gigabit Ethernet,noOS,,,,1,3,1,1,minitower,330 Вт,белый,7.71 кг,131.85 х 408.88 х 372.2 мм,Гарантия СЦ производителя,12 мес.,0.45x0.17x0.31 м,8.82 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,,внутренний,,2 шт,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-11si-1611xru-mt-i5-11400f-16gb-ssd512gb-gtx1660-super-1794769/,4.5,4,"Компьютер MSI Infinite 11SI-1611XRU, Intel Core i5 11400F, DDR4 16ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1660 Super - 6144 Мб, noOS, черный [9s6-b91591-1611]",83 030,MSI,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1660 Super - 6144 Мб,512 ГБ,Gigabit Ethernet,noOS,,5,3,1,3,1,1,minitower,500 Вт,черный,10 кг,210 х 488 х 450 мм,Гарантия СЦ производителя,12 мес.,0.61x0.315x0.585 м,11.7 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-msi-infinite-11th-1610xru-mt-i5-11400f-16gb-ssd1tb-rtx3050-8gb-noos-1794761/,5,1,"Компьютер MSI Infinite 11TH-1610XRU, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, noOS, черный [9s6-b91591-1610]",96 500₽,MSI,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,1024 ГБ,Gigabit Ethernet,noOS,,5,3,1,3,1,1,minitower,500 Вт,черный,10 кг,210 х 488 х 450 мм,Гарантия СЦ производителя,12 мес.,0.58x0.31x0.62 м,7.7 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,1,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-acer-aspire-tc-1660-mt-i5-10400f-8gb-1tb-gtx1650-4gb-cr-endless-che-1536998/,5,7,"Компьютер Acer Aspire TC-1660, Intel Core i5 11400F, DDR4 8ГБ, 1000ГБ, NVIDIA GeForce GTX 1650 - 4096 Мб, noOS, черный [dg.bgzer.00c]",57 990₽,ACER,,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"8 ГБ, DDR4, DIMM",,дискретный,NVIDIA GeForce GTX 1650 - 4096 Мб,,Gigabit Ethernet,noOS,,4,2,1,,1,1,tower,500 Вт,черный,7.4 кг,163 х 340 х 350 мм,Гарантия СЦ производителя,12 мес.,0.5x0.24x0.42 м,5.3 кг,,,,,,,,,,1 шт,,1,,,"1000 ГБ, 7200 об/мин, SATA III",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5gm-mt-i3-10105f-8gb-ssd512gb-geforce-gtx-1630-4gb-dos-1858300/,5,2,"Компьютер iRU Home 310H5GM, Intel Core i3 10105F, DDR4 8ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1630 - 4096 Мб, Free DOS, черный [1858300]",50 600₽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h3se-mt-pg-g6405-8gb-ssd240gb-uhdg-610-dos-chernyi-1789287/,5,1,"Компьютер iRU Home 310H3SE, Intel Pentium Gold G6405, DDR4 8ГБ, 240ГБ(SSD), Intel UHD Graphics 610, Free DOS, черный [1789287]",28 100₽,IRU,LGA 1200,Intel Pentium Gold G6405,4.1 ГГц,2-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 610,240 ГБ,Gigabit Ethernet,Free DOS,2 (клавиатура и мышь),4,2,1,,1,1,miditower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.54x0.25x0.58 м,9.4 кг,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i5-11400-8gb-ssd240gb-uhdg-730-dos-chernyi-1788609/,3.8,5,"Компьютер iRU Home 310H5SE, Intel Core i5 11400, DDR4 8ГБ, 240ГБ(SSD), Intel UHD Graphics 730, Free DOS, черный [1788609]",36 900₽,IRU,LGA 1200,Intel Core i5 11400,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 730,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.525x0.255x0.581 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-310h5gma-mt-i5-11400f-16gb-ssd1tb-gtx1650-4gb-dos-chernyi-1859648/,Код товара: 1859648,,"Компьютер iRU Game 310H5GMA, Intel Core i5 11400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce GTX 1650 - 4096 Мб, Free DOS, черный [1859648]",79 800₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1650 - 4096 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,2,1,1,miditower,500 Вт,черный,7 кг,210 х 495 х 403 мм,Гарантия СЦ производителя,36 мес.,0.52x0.27x0.45 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-320a3se-mt-ryzen-3-pro-4350g-8gb-ssd256gb-r7-dos-chernyi-1856594/,5,1,"Компьютер iRU Home 320A3SE, AMD Ryzen 3 PRO 4350G, DDR4 8ГБ, 256ГБ(SSD), AMD Radeon Graphics, Free DOS, черный [1856594]",33 100₽,IRU,Socket AM4,AMD Ryzen 3 PRO 4350G,"3.8 ГГц (4 ГГц, в режиме Turbo)",4-ядерный,AMD A320,"8 ГБ, DDR4, DIMM, 3200 МГц",32 ГБ,интегрированный,AMD Radeon Graphics,256 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.54x0.25x0.58 м,9.3 кг,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h4se-mt-cel-g5905-4gb-ssd240gb-uhdg-610-dos-chernyi-1873309/,Код товара: 1873309,,"Компьютер iRU Home 310H4SE, Intel Celeron G5905, DDR4 4ГБ, 240ГБ(SSD), Intel UHD Graphics 610, Free DOS, черный [1873309]",23 100₽,IRU,LGA 1200,Intel Celeron G5905,3.5 ГГц,2-ядерный,Intel H410,"4 ГБ, DDR4, DIMM, 2400 МГц",64 ГБ,интегрированный,Intel UHD Graphics 610,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),4,2,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.338x0.247x0.572 м,9.6 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-520b5gma-mt-ryzen-7-5700g-16gb-ssd1tb-rgr-dos-chernyi-1783969/,3,1,"Компьютер iRU Home 520B5GP, AMD Ryzen 7 5700G, DDR4 16ГБ, 1ТБ(SSD), AMD Radeon Graphics, Free DOS, черный [1783969]",69 400₽,IRU,Socket AM4,AMD Ryzen 7 5700G,"3.8 ГГц (4.6 ГГц, в режиме Turbo)",8-ядерный,AMD B520,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,интегрированный,AMD Radeon Graphics,1024 ГБ,Gigabit Ethernet,Free DOS,1 (клавиатура),2,4,1,,1,1,minitower,700 Вт,черный,7 кг,215 х 470 х 425 мм,Гарантия СЦ производителя,36 мес.,0.54x0.25x0.58 м,9.2 кг,1,,,,,,,внутренний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5sm-mt-i5-11400-8gb-ssd240gb-uhdg-730-dos-chernyi-1885267/,4,1,"Компьютер iRU Home 310H5SM, Intel Core i5 11400, DDR4 8ГБ, 240ГБ(SSD), Intel UHD Graphics 730, Free DOS, черный [1885267]",41 300₽,IRU,LGA 1200,Intel Core i5 11400,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 730,240 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,2,1,,1,1,minitower,400 Вт,черный,7 кг,170 х 350 х 395 мм,Гарантия СЦ производителя,36 мес.,0.541x0.25x0.58 м,9.4 кг,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-office-310h5sfp-sff-i5-11400-8gb-ssd256gb-uhdg-730-dos-chernyi-1863221/,4.5,2,"Компьютер iRU Office 310H5SFP, Intel Core i5 11400, DDR4 8ГБ, 256ГБ(SSD), Intel UHD Graphics 730, Free DOS, черный [1863221]",42 000₽,IRU,LGA 1200,Intel Core i5 11400,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,интегрированный,Intel UHD Graphics 730,256 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,4,1,,1,1,small form factor,300 Вт,черный,7 кг,100 х 368 х 335 мм,Гарантия СЦ производителя,36 мес.,0.405x0.175x0.46 м,7.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-510b5gma-mt-i5-10400f-16gb-ssd500gb-rtx3060-12gb-dos-chern-1686223/,4.5,2,"Компьютер iRU Game 510B5GMA, Intel Core i5 10400F, DDR4 16ГБ, 500ГБ(SSD), NVIDIA GeForce RTX 3060 - 12288 Мб, Free DOS, черный [1686223]",107 500₽,IRU,LGA 1200,Intel Core i5 10400F,"2.9 ГГц (4.3 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"16 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3060 - 12288 Мб,500 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,,1,1,miditower,500 Вт,черный,7 кг,210 х 459 х 403 мм,Гарантия СЦ производителя,36 мес.,0.521x0.26x0.45 м,9.4 кг,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5sm-mt-i5-11400f-8gb-ssd256gb-gt1030-2gb-dos-chernyi-1859453/,Код товара: 1859453,,"Компьютер iRU Home 310H5SM, Intel Core i5 11400F, DDR4 8ГБ, 256ГБ(SSD), NVIDIA GeForce GT1030 - 2048 Мб, Free DOS, черный [1859453]",49 100₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GT1030 - 2048 Мб,256 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),4,4,1,,1,1,minitower,500 Вт,черный,7 кг,170 х 350 х 395 мм,Гарантия СЦ производителя,36 мес.,0.54x0.25x0.58 м,9.4 кг,,,,,,,,внутренний,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/nettop-msi-cubi-5-10m-840xru-i7-10510u-16gb-ssd512gb-uhdg-noos-chernyi-1856644/,4,1,"Неттоп MSI Cubi 5 10M-840XRU, Intel Core i7 10510U, DDR4 16ГБ, 512ГБ(SSD), Intel UHD Graphics, noOS, черный [9s6-b18311-840]",63 900₽,MSI,,Intel Core i7 10510U,"1.8 ГГц (4.9 ГГц, в режиме Turbo)",4-ядерный,,"16 ГБ, DDR4, SO-DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics,512 ГБ,Gigabit Ethernet,noOS,,2,3,1,1,1,1,,65 Вт,черный,0.55 кг,124 х 53.7 х 124 мм,Гарантия СЦ производителя,12 мес.,,1.5 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.2,,внешний,,,,,,,,,матовая,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-mini-hiper-m9-cel-g5905-uhdg-cr-noos-chernyi-1770103/,4.3,6,"Неттоп HIPER M9, Intel Celeron G5905, DDR4 Intel UHD Graphics 610, noOS, черный [4t533cl93t]",16 100₽,HIPER,,Intel Celeron G5905,3.5 ГГц,2-ядерный,,", DDR4, SO-DIMM",,интегрированный,Intel UHD Graphics 610,,Gigabit Ethernet,noOS,,2,4,1,1,1,1,,120 Вт,черный,1.9 кг,250 х 60 х 190 мм,Гарантия СЦ производителя,12 мес.,0.24x0.23x0.12 м,2.331 кг,,,есть,802.11 a/b/g/n/ac,есть,v4.2,,внешний,,,,,,,,,,Оперативная память не установлена. Ее необходимо приобрести отдельно.,Жесткие диски не установлены. Их необходимо приобрести отдельно.,"Мануал, блок питания, кабель питания",Китай,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-apple-mac-mini-a2348-slim-m1-8-core-16gb-ssd256gb-8-core-gpu-macos-1854935/,Код товара: 1854935,,"Компьютер Apple Mac mini A2348, Apple M1 8 core, 16ГБ, 256ГБ(SSD), macOS, серебристый [z12n0000j ]",99 800₽,APPLE,,Apple M1 8 core,,8-ядерный,,16 ГБ,,интегрированный,,256 ГБ,Gigabit Ethernet,macOS,,,2,1,,,1,slim,,серебристый,1.2 кг,197 х 36 х 197 мм,Гарантия продавца,12 мес.,0.253x0.242x0.126 м,2.06 кг,,,есть,802.11 a/b/g/n/ac/ax,есть,v5.0,,внутренний,,,,,,,,,матовая,,,,,8 core GPU,2,100 В,240 В,Тип G (Английская с предохранителем),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-510b6gs-mt-i5-12400f-16gb-ssd1tb-rtx3050-8gb-dos-chernyi-1874369/,Код товара: 1874369,,"Компьютер iRU Game 510B6GS, Intel Core i5 12400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce RTX 3050 - 8192 Мб, Free DOS, черный [1874369]",94 700₽,IRU,LGA 1700,Intel Core i5 12400F,"2.5 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce RTX 3050 - 8192 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,2,1,1,miditower,700 Вт,черный,7 кг,185 х 305 х 390 мм,Гарантия СЦ производителя,36 мес.,0.46x0.27x0.39 м,9.4 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5se-mt-i3-10105-8gb-ssd1tb-uhdg-630-dos-chernyi-1862601/,Код товара: 1862601,,"Компьютер iRU Home 310H5SE, Intel Core i3 10105, DDR4 8ГБ, 1ТБ(SSD), Intel UHD Graphics 630, Free DOS, черный [1862601]",40 300₽,IRU,LGA 1200,Intel Core i3 10105,"3.7 ГГц (4.4 ГГц, в режиме Turbo)",4-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 2666 МГц",64 ГБ,интегрированный,Intel UHD Graphics 630,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,,1,1,minitower,400 Вт,черный,6.5 кг,165 х 350 х 350 мм,Гарантия СЦ производителя,36 мес.,0.545x0.252x0.577 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-310h5gm-mt-i5-11400f-8gb-ssd512gb-geforce-gtx-1630-4gb-dos-1858316/,5,1,"Компьютер iRU Home 310H5GM, Intel Core i5 11400F, DDR4 8ГБ, 512ГБ(SSD), NVIDIA GeForce GTX 1630 - 4096 Мб, Free DOS, черный [1858316]",59 500₽,IRU,LGA 1200,Intel Core i5 11400F,"2.6 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel H510,"8 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1630 - 4096 Мб,512 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),2,4,1,,1,1,miditower,500 Вт,черный,7 кг,210 х 392 х 428 мм,Гарантия СЦ производителя,36 мес.,0.43x0.274x0.477 м,9.4 кг,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-home-315-mt-i3-10100f-16gb-1tb-7-2k-ssd240gb-gtx1650-4gb-dos-ch-1833131/,Код товара: 1833131,,"Компьютер iRU Home 315, Intel Core i3 10100F, DDR4 16ГБ, 1ТБ, 240ГБ(SSD), NVIDIA GeForce GTX 1650 - 4096 Мб, Free DOS, черный [1833131]",66 100₽,,,,,,,,,,,,,,1 (комбинированный),6,3,1,,1,1,miditower,500 Вт,черный,6.5 кг,185 х 460 х 420 мм,Гарантия СЦ производителя,36 мес.,0.522x0.24x0.47 м,9.4 кг,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.citilink.ru/product/pk-iru-game-510b6gma-mt-i5-12400f-16gb-ssd1tb-gtx1660-super-6gb-dos-ch-1874374/,Код товара: 1874374,,"Компьютер iRU Game 510B6GMA, Intel Core i5 12400F, DDR4 16ГБ, 1ТБ(SSD), NVIDIA GeForce GTX 1660 Super - 6144 Мб, Free DOS, черный [1874374]",87 100₽,IRU,LGA 1700,Intel Core i5 12400F,"2.5 ГГц (4.4 ГГц, в режиме Turbo)",6-ядерный,Intel B560,"16 ГБ, DDR4, DIMM, 3200 МГц",64 ГБ,дискретный,NVIDIA GeForce GTX 1660 Super - 6144 Мб,1024 ГБ,Gigabit Ethernet,Free DOS,1 (комбинированный),6,3,1,2,1,1,miditower,500 Вт,черный,7 кг,210 х 459 х 403 мм,Гарантия СЦ производителя,36 мес.,0.515x0.265x0.45 м,9.1 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
