Название,Рейтинг,Количество отзывов,Цена,Страна,Гарантия,Тип,Операционная система,Язык клавиатуры,Диагональ экрана,Разрешение экрана,Соотношение сторон,Максимальная частота обновления,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип оптического привода,Встроенные динамики,Wi-Fi,Bluetooth,Web-камера,HDMI,USB 2.0,USB 3.2,USB 3.2 (Type-C),Разъем для наушников/микрофона,Тип аккумулятора,Емкость,Высота,Ширина,Глубина,Вес,Тип матрицы,Поверхность,Количество потоков,Кэш L3,Максимальный объем,Количество слотов,Частота памяти,Стандарт Wi-Fi,Версия Bluetooth,Картридер,Микрофон,USB 3.0,USB 3.0 (Type-C),USB 3.1 (Type-C),Максимальное время работы,Материал корпуса,Подсветка клавиш,Блок питания,Цвет,Кэш L2,Тип звуковой системы,Количество ячеек,Объем видеопамяти,Ethernet,Mini DisplayPort,USB,USB 3.1,RJ-45,Язык операционной системы,Яркость,Количество ядер графического процессора,Количество динамиков,VGA (D-Sub),DVI,DisplayPort,Thunderbolt 3,Разъем для наушников,Мощность блока питания,Тип вилки,Сканер отпечатков пальцев,Контрастность,Micro USB 2.0,Игровой ноутбук,Дополнительная информация,Mini HDMI,Кабель для зарядки,Угол обзора по вертикали,Угол обзора по горизонтали,Производитель чипсета,Модель чипсета,Интерфейс подключения,Тип видеопамяти,LED-подсветка,Разъем для микрофона,Thunderbolt/USB 4,Мощность динамиков,Объем первого накопителя,Объем второго накопителя,Сенсорный,Частота шины,Разъем Kensington Lock,Сенсорная панель Touch Bar,Чехол,Объем памяти Intel Optane,Платформа Intel Evo,Датчик освещенности,Время отклика,Micro HDMI,USB 2.0 (Type-C),Скорость вращения шпинделя,4G (LTE),
Ноутбук Apple MacBook Pro 14 M2 Pro 10-core CPU/16-core GPU/16GB/512GB Silver (MPHH3),0.0,0.0,261 390 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","14.2"" ",3024x1964 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,10 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.6 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,18 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,16,6,,,,,Есть,67 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/1TB Space Gray (MNW93),0.0,0.0,313 190 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 14 M2 Pro 12-core CPU/19-core GPU/16GB/1TB Silver (MPHJ3),0.0,0.0,308 690 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","14.2"" ",3024x1964 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.6 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,18 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,96 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/512GB Space Gray (MNW83),0.0,0.0,294 490 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/1TB Silver (MNWD3),0.0,0.0,313 190 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,1 ТБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 14 M2 Pro 10-core CPU/16-core GPU/16GB/512GB Space Gray (MPHE3),0.0,0.0,261 390 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","14.2"" ",3024x1964 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,10 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.6 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,18 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,16,6,,,,,Есть,67 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/512GB Silver (MNWC3),0.0,0.0,294 490 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/512GB Space Gray (MNW83),0.0,0.0,294 490 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 16 M2 Pro 12-core CPU/19-core GPU/16GB/512GB Silver (MNWC3),0.0,0.0,294 490 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","16.2"" ",3456x2234 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,12 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,100 Вт*ч,1.68 см ,35.57 см,24.81 см,2.15 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,22 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,19,6,,,,,Есть,140 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
Ноутбук Apple MacBook Pro 14 M2 Pro 10-core CPU/16-core GPU/16GB/512GB Space Gray (MPHE3),0.0,0.0,261 390 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","14.2"" ",3024x1964 Пикс ,,120 Гц,Apple ,Apple M2 Pro,,3.5 ГГц,10 ,16 ГБ ,LPDDR5,SSD ,512 ГБ ,Интегрированная ,Apple ,Apple M2 Pro,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,Li-Pol,70 Вт*ч,1.55 см ,31.26 см,22.12 см,1.6 кг ,IPS ,,,,96 ГБ,,6400 МГц,IEEE 802.11aх,5.3,SDXC,Есть,,,,18 ч ,Алюминий ,Есть ,Есть,,32 МБ,Dolby Atmos,,,,,,,,Мультиязыковой,1000 кд/м²,16,6,,,,,Есть,67 Вт,,,1000000:1,,,,,,,,,,,,,,3,,,,,,,Есть,,,,,,,,,,
