Название,Рейтинг,Количество отзывов,Цена,Страна,Гарантия,Тип,Операционная система,Язык клавиатуры,Диагональ экрана,Разрешение экрана,Соотношение сторон,Максимальная частота обновления,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Объем оперативной памяти,Тип оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип оптического привода,Встроенные динамики,Wi-Fi,Bluetooth,Web-камера,HDMI,USB 2.0,USB 3.2,USB 3.2 (Type-C),Разъем для наушников/микрофона,Тип аккумулятора,Емкость,Высота,Ширина,Глубина,Вес,Тип матрицы,Поверхность,Количество потоков,Кэш L3,Максимальный объем,Количество слотов,Частота памяти,Стандарт Wi-Fi,Версия Bluetooth,Картридер,Микрофон,USB 3.0,USB 3.0 (Type-C),USB 3.1 (Type-C),Максимальное время работы,Материал корпуса,Подсветка клавиш,Блок питания,Цвет,Кэш L2,Тип звуковой системы,Количество ячеек,Объем видеопамяти,Ethernet,Mini DisplayPort,USB,USB 3.1,RJ-45,Язык операционной системы,Яркость,Количество ядер графического процессора,Количество динамиков,VGA (D-Sub),DVI,DisplayPort,Thunderbolt 3,Разъем для наушников,Мощность блока питания,Тип вилки,Сканер отпечатков пальцев,Контрастность,Micro USB 2.0,Игровой ноутбук,Дополнительная информация,Mini HDMI,Кабель для зарядки,Угол обзора по вертикали,Угол обзора по горизонтали,Производитель чипсета,Модель чипсета,Интерфейс подключения,Тип видеопамяти,LED-подсветка,Разъем для микрофона,Thunderbolt/USB 4,Мощность динамиков,Объем первого накопителя,Объем второго накопителя,Сенсорный,Частота шины,Разъем Kensington Lock,Сенсорная панель Touch Bar,Чехол,Объем памяти Intel Optane,Платформа Intel Evo,Датчик освещенности,Время отклика,Micro HDMI,USB 2.0 (Type-C),Скорость вращения шпинделя,4G (LTE),
Ноутбук ASUS M1502IA-BQ093,5.0,16.0,46 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,16:9,60 Гц,AMD ,Ryzen 7 4800H,2.9 ГГц,4.2 ГГц,8,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,Есть,Есть ,1.0,2.0,1.0,Есть,Li-Ion,42 Вт*ч,1.99 см ,35.97 см,23.25 см,1.7 кг ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier i1510SD (JB0B1BE00RU),5.0,6.0,34 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i3-1115G4,3 ГГц,4.1 ГГц,2,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,Есть ,,,,Есть,,3400 мА*ч,2.2 см ,37.5 см,24.3 см,1.65 кг ,IPS ,Матовая ,4.0,6 МБ,32 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"microSDHC, microSD",Есть,2.0,1.0,1.0,7 ч ,Пластик ,Есть ,Есть,Серый ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS VivoBook 15 M1502I (90NB0Y52-M002R0),5.0,9.0,44 999 р.,Китай,1 год,Ноутбук,Без ОС,"Английский, Русский","15.6""",1920x1080 Пикс,,,AMD,Ryzen 5 4600H,3 ГГц,4 ГГц,6,8 ГБ,DDR4,SSD,512 ГБ,Интегрированная,AMD,Radeon,Отсутствует,,Есть,Есть,1 Мпикс,Есть,1.0,,,,,,1.99 см,35.97 см,23.25 см,1.7 кг,IPS,Матовая,12.0,8 МБ,,,3200 МГц,IEEE 802.11aх,5.0,,,,2.0,,,Пластик,,,Серебристый,3 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS M515DA-EJ1697,5.0,7.0,41 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",,,60 Гц,AMD ,Ryzen 5 3500U,2.1 ГГц,3.7 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,,,,Отсутствует ,Есть,Есть ,Есть ,,Есть ,2.0,1.0,1.0,Есть,Li-Ion,37 Вт*ч,1.99 см ,36 см,23.5 см,1.8 кг ,,,8.0,6 МБ,,,,IEEE 802.11ac,4.1,,Есть,,,,,,,,Серебристый ,,SonicMaster,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Air Wave D (JT009CE09RU),5.0,25.0,64 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-11400H,2.7 ГГц,4.5 ГГц,6,8 ГБ ,DDR4,SSD ,256 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,2.39 см ,35.92 см,25.38 см,2.15 кг ,AHVA ,Матовая ,12.0,12 МБ,64 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,,1.0,,5 ч ,"Металл, Пластик ",Есть ,,Черный ,,Nahimic Audio,,4 ГБ,10/100/1000 Мбит/с,1.0,3.0,2.0,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Apple MacBook Air 13 M1/8/256GB Space Gray (MGN63),5.0,19.0,91 999 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","13.3"" ",2560x1600 Пикс ,,,Apple ,Apple M1,3.2 ГГц,,8,8 ГБ ,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M1,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,,Li-Pol,,1.61 см ,30.41 см,21.24 см,1.29 кг ,IPS ,,,,8 ГБ,,3200 МГц,IEEE 802.11aх,5.0,,Есть,,,1.0,18 ч ,Алюминий ,Есть ,Есть,Серый ,,Dolby Atmos,,,,,,1.0,,Английский,400 кд/м²,8.0,2.0,Есть,Есть,Есть,2.0,Есть,30 Вт,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 BoD-WDH9 i5/8GB/512GB Mystic Silver (53013ERR),5.0,50.0,54 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Intel Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2.0,1.0,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1.0,,7 ч ,Алюминий ,,,Серебристый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 i5-1155G7/16/512 Space Gray (BoDE-WFH9),5.0,5.0,62 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1155G7,2.5 ГГц,4.5 ГГц,4,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2.0,1.0,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1.0,,7 ч ,Алюминий ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook X 15 i5 8+512GB Space Grey (BDR-WDH),5.0,18.0,51 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,16:9,60 Гц,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,,,Есть,,,1.69 см ,35.73 см,22.95 см,1.56 кг ,IPS ,,8.0,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,,Есть,1.0,1.0,,7 ч ,Алюминий ,,Есть,Серебристый ,,,,,,,,,,,,,,,,,,,,,Есть ,800 : 1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук MSI Katana GF66 12UE-1084RU,5.0,16.0,109 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12500H,2.5 ГГц,4.5 ГГц,12,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,Отсутствует ,Есть,Есть ,Есть ,1.0 Мпикс,Есть ,1.0,2.0,1.0,Есть,,4562 мА*ч,2.49 см ,35.9 см,25.9 см,2.25 кг ,IPS-level ,Матовая ,16.0,18 МБ,64 ГБ,2.0,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",5.2,,,,,,5 ч ,Пластик ,Есть ,,Черный ,,Nahimic Audio,,6 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Европейская (Тип C),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук ASUS TUF Gaming A15 FA506IHR-US51,5.0,40.0,64 999 р.,Китай,1 год,Ноутбук ,Windows 10 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,AMD ,Ryzen 5 4600H,3 ГГц,4 ГГц,6 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,3,1,Есть,,,2.44 см ,35.9 см,25.6 см,2.3 кг ,IPS ,Матовая ,12,8 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,,,5 ч ,"Пластик, Алюминий ",Есть ,,Серый ,3 МБ,DTS X Ultra,,4 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Английская (Тип G),,,,,Возможны варианты поставки с операционной системой Windows 10 или Windows 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier U1530EM,4.0,22.0,22 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,"Английский, Русский","15.6"" ",1366x768 Пикс ,,60 Гц,Intel ,Celeron N4020,1.1 ГГц,2.8 ГГц,2 ,4 ГБ ,DDR4,eMMC ,128 ГБ ,Интегрированная ,Intel ,UHD Graphics 600,Отсутствует ,Есть,Есть ,Есть ,2.0 Мпикс,,2 ,,,Есть,,5000 мА*ч,2 см ,37.5 см,24 см,1.5 кг ,IPS ,Матовая ,,,,,1600 МГц,"IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",4.0,"SD, SDHC, SDXC",Есть,,,,5 ч ,Пластик ,,,Серый ,4 МБ,,,,,,,,,,,,2,,,,,,,Европейская Schuko (Тип F),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук ASUS TUF F15 FX506HCB-US51,5.0,48.0,73 999 р.,Китай,1 год,Ноутбук,Windows 11 Домашняя x64,"Английский, Русский","15.6""",1920x1080 Пикс,,144 Гц,Intel,Core i5-11400H,2.7 ГГц,4.5 ГГц,6,8 ГБ,DDR4,SSD,512 ГБ,Дискретная,NVIDIA,GeForce RTX 3050,Отсутствует,Есть,Есть,Есть,1 Мпикс,Есть,2,3,1,Есть,,,2.43 см,35.9 см,25.6 см,2.3 кг,IPS,Матовая,,12 МБ,32 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,,,6 ч,Пластик,Есть,Есть,Серый,,DTS X Ultra,,4 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Английская (Тип G),,,,Есть,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 BoD-WFH9 i5/16GB/512GB Mystic Silver (53013ERX),5.0,30.0,62 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Intel Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8,8 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,7 ч ,Алюминий ,,,Серебристый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Xiaomi RedmiBook 15 JYU4532RU,5.0,30.0,49 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,,"15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i5-11320H,3.2 ГГц,4.5 ГГц,4 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Intel Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,2,,Есть,Li-Ion,46 Вт*ч,1.99 см ,36.38 см,24.35 см,1.8 кг ,TN ,Матовая ,8,8 МБ,,1,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,SD,,,,,9 ч ,Пластик ,,Есть,Серый ,,DTS Audio,,,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook 16 R5/16/512 Grey (HYM-W56),5.0,100.0,56 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","16.1"" ",1920x1080 Пикс ,16:9,60 Гц,AMD ,Ryzen 5 5600H,3.3 ГГц,4.2 ГГц,6 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,2,2,Есть,Li-Pol,5600 мА*ч,1.82 см ,35.78 см,,,IPS ,Матовая ,12,16 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,,,11.5 ч ,Алюминий ,Есть ,Есть,,3 МБ,,,,,,4 ,,,,,,2,,,,,,,Европейская Schuko (Тип F),Есть ,1000:1,,,,,Есть,170 °,170 °,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D 16 RLEF-X Space Grey (53013ESY),5.0,84.0,89 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","16"" ",1920x1200 Пикс ,,,Intel ,Core i7-12700H,1.7 ГГц,4.7 ГГц,14 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Graphics,Отсутствует ,Есть,Есть ,Есть ,,Есть ,2 ,1,,Есть,,,1.84 см ,35.67 см,24.87 см,1.71 кг ,IPS ,,20,24 МБ,,,,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,1 ,,,Металл ,,,Серый ,,,,,,,,,,,,,2,,,,,,,Европейская (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Plus Pro D i5-12450H/16GB/SSD512/RTX3060/DOS,5.0,36.0,99 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,2,1,Есть,,,2.59 см ,39.7 см,26.3 см,2.5 кг ,IPS ,Матовая ,,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,,,,5 ч ,"Металл, Пластик ",Есть ,,,,Sound Blaster Cinema,,6 ГБ,10/100/1000 Мбит/с,,4 ,,Есть,,,,2,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 MT Pro D i5-12450H/16GB/SSD512/RTX3060/DOS,5.0,14.0,89 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,2,1,Есть,,,2.5 см ,36.1 см,24.1 см,2.2 кг ,IPS ,Матовая ,,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",Есть,,,,5 ч ,"Металл, Пластик ",Есть ,,,,Sound Blaster Cinema,,6 ГБ,10/100/1000 Мбит/с,,4 ,,Есть,,,,2,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук MSI Katana G76 11UC-679XRU,5.0,11.0,85 999 р.,Китай,1 год,Ноутбук ,FreeDOS ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-11400H,2.2 ГГц,4.5 ГГц,6 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,Отсутствует ,Есть,Есть ,Есть ,1.0 Мпикс,Есть ,1 ,2,1,Есть,Li-Pol,53.5 Вт*ч,,,,,IPS ,Матовая ,12,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.2,,,,,,5 ч ,"Металл, Пластик ",Есть ,,,,Nahimic Sound,3,4 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,150 Вт,Европейская (Тип C),,,,Есть ,,,,,,Intel,Intel® HM570,M.2,GDDR6,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D14 NbD-WDI9 i3/8GB/256GB Space Grey (53013PLU),5.0,19.0,43 999 р.,Китай,1 год,Ноутбук ,Windows 11 Домашняя ,,"14"" ",1920x1080 Пикс ,,,Intel ,Core i3-1115G4,3 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,Intel UHD Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.59 см ,32.25 см,21.48 см,1.38 кг ,IPS ,Матовая ,,6 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,7 ч ,Металл ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Haier i1550SM (JB0B19E00RU),5.0,20.0,39 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,60 Гц,Intel ,Core i3-1115G4,1.7 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,1 ,,,Есть,Li-Pol,4800 мА*ч,1.95 см ,35.9 см,24 см,1.73 кг ,IPS ,,4,6 МБ,32 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",5.0,"microSDHC, microSD",Есть,,,2 ,8 ч ,"Металл, Пластик ",Есть ,,Серый ,,,,,,,5 ,2 ,,Русский,,,,,,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI MateBook D15 BoD-WDI9 i3/8GB/256GB Space Grey (53013PLV),5.0,46.0,43 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,,"15.6"" ",1920x1080 Пикс ,,,Intel ,Core i3-1115G4,3 ГГц,4.1 ГГц,2 ,8 ГБ ,DDR4,SSD ,256 ГБ ,Интегрированная ,Intel ,Intel UHD Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,4,6 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,7 ч ,Алюминий ,,,Серый ,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HONOR MagicBook 16 R5/16/512 Silver (HYM-W56),5.0,65.0,56 999 р.,Китай,1 год,Ноутбук ,Без ОС ,"Английский, Русский","16.1"" ",1920x1080 Пикс ,16:9,60 Гц,AMD ,Ryzen 5 5600H,3.3 ГГц,4.2 ГГц,6 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,AMD ,Radeon Graphics,Отсутствует ,Есть,Есть ,Есть ,1 Мпикс,Есть ,,2,2,Есть,Li-Pol,5600 мА*ч,1.82 см ,35.78 см,,,IPS ,Матовая ,12,16 МБ,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,Есть,,,,11.5 ч ,Алюминий ,Есть ,Есть,,3 МБ,,,,,,4 ,,,,,,2,,,,,,,Европейская Schuko (Тип F),Есть ,1000:1,,,,,Есть,170 °,170 °,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HP 15-DW1495NIA (6J5C0EA),5.0,9.0,17 999 р.,Китай,1 год,Ноутбук ,Без ОС ,Английский,"15.6"" ",1366x768 Пикс ,,,Intel ,Celeron N4120,1.1 ГГц,2.8 ГГц,4 ,4 ГБ ,DDR4,HDD ,1 ТБ ,Интегрированная ,Intel ,UHD Graphics 600,Отсутствует ,,Есть ,Есть ,,Есть ,,2,1,Есть,,,2 см ,35.8 см,24.2 см,1.76 кг ,TN ,Матовая ,2,,,,2400 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",4.2,"SD, SDHC",,,,,10 ч ,Пластик ,,,Черный ,4 МБ,,,,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук HUAWEI 53013ERR Mystic Silver (BoD-WDH9),5.0,41.0,54 999 р.,Китай,1 год,Ноутбук ,Windows 11 ,"Английский, Русский","15.6"" ",1920x1080 Пикс ,,,Intel ,Core i5-1135G7,2.4 ГГц,4.2 ГГц,4 ,8 ГБ ,DDR4,SSD ,512 ГБ ,Интегрированная ,Intel ,Iris Xe Graphics,Отсутствует ,,Есть ,Есть ,1 Мпикс,Есть ,2 ,1,,Есть,,,1.69 см ,35.78 см,22.99 см,1.56 кг ,IPS ,Матовая ,8,,,,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.1,,,,1 ,,6 ч ,Металл ,,,Серебристый ,8 МБ,,,,,,,,,,,,,,,,,Есть,,Европейская Schuko (Тип F),Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой ноутбук Thunderobot 911 Plus Pro (JT009UE07RU),5.0,21.0,104 999 р.,Китай,1 год,Ноутбук ,Windows 11 Профессиональная x64 ,"Английский, Русский","17.3"" ",1920x1080 Пикс ,,144 Гц,Intel ,Core i5-12450H,2 ГГц,4.4 ГГц,8 ,16 ГБ ,DDR4,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 для ноутбуков,Отсутствует ,,Есть ,Есть ,,Есть ,1 ,2,1,Есть,,4550 мА*ч,2.59 см ,39.7 см,26.3 см,2.5 кг ,,Матовая ,,12 МБ,64 ГБ,2,3200 МГц,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11aх, IEEE 802.11n",5.0,"SD, SDHC, SDXC",,,,,5 ч ,Пластик ,Есть ,,Серый ,,,,6 ГБ,10/100/1000 Мбит/с,,,,Есть,,,,,,,,,,,Европейская Schuko (Тип F),,,,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ноутбук Apple MacBook Air 13 M1/8/256GB Silver (MGN93),5.0,15.0,91 999 р.,Китай,1 год,Ноутбук ,MacOS ,"Английский, Русский","13.3"" ",2560x1600 Пикс ,,,Apple ,Apple M1,3.2 ГГц,,8 ,8 ГБ ,,SSD ,256 ГБ ,Интегрированная ,Apple ,Apple M1,Отсутствует ,Есть,Есть ,Есть ,,Есть ,,,,,Li-Pol,,1.61 см ,30.41 см,21.24 см,1.29 кг ,IPS ,,,,8 ГБ,,3200 МГц,IEEE 802.11aх,5.0,,Есть,,,1 ,18 ч ,Алюминий ,Есть ,Есть,Серебристый ,,Dolby Atmos,,,,,,1 ,,Английский,400 кд/м²,8,2,Есть,Есть,Есть,2,Есть,30 Вт,Американская (Тип A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
