Название,Рейтинг,Количество отзывов,Цена,Страна производитель,Бренд,Модель,Диагональ,Разрешение,Соотношение сторон,Тип панели,Яркость экрана,Контрастность,Время отклика пикселя,Углы обзора,Частота обновления,Цифровой тюнер DVB-T2,Цифровой тюнер DVB-T,Кабельный тюнер DVB-C,Спутниковый тюнер DVB-S,Спутниковый тюнер DVB-S2,Мощность акустики,Акустическая схема,Процессор изображения,Прогрессивная развертка,Цифровое шумоподавление,Стандарт разрешения экрана,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка DLNA,Телетекст,Таймер сна,Родительский контроль,Таймер включения/выключения,Операционная система,Поддержка SMART TV,Голосовой помощник,Объем оперативной памяти,Объем встроенной памяти,Функция Time Shift,Гид по программам (EPG),Тип разъема USB,Возможность записи на USB носитель,Форматы воспроизведения,Антенный вход,Разъемов HDMI,Разъем композитный (видео),Разъем RJ-45 (Ethernet),Разъем CI+/PCMCIA,Разъем для наушников,Разъем S/PDIF оптический,Разъемов USB,Тип блока питания,Энергопотребление в рабочем режиме,Энергопотребление в режиме ожидания,Класс энергоэффективности,Тип подставки,Цвет,Размер VESA,Размеры с подставкой (ШxВxГ),Размеры без подставки (ШxВxГ),Вес товара,Вес без подставки,Габариты упаковки ДхШхВ,Вес упаковки (ед),Гарантийное,Гарантия,Разъем S/PDIF коаксиальный,Тип пульта ДУ в комплекте
"43"" Телевизор Digma DM-LED43SBB31, FULL HD, черный, СМАРТ ТВ, Яндекс.ТВ",5,1,16 490,Беларусь,DIGMA,DM-LED43SBB31,"43"" (109 см)",1920 x 1080,16:9,LED,250 кд/м2,3.000:1,8 мс,"178 по горизонтали, 178 по вертикали",60 Гц,есть,есть,есть,есть,есть,2 x 8 Вт,2.0,G31MP2,есть,есть,FULL HD,есть,есть,есть,есть,есть,есть,есть,Яндекс.ТВ,есть,Яндекс Алиса,1 ГБ,8 ГБ,есть,есть,мультимедийный,есть,"Различные форматы файлов видео, аудио, изображений",IEC75,3,1,1,1,1,1,2,встроенный,90 Вт,0.5 Вт,A,по бокам,черный,200x200,970.1 x 626.6 x 237.7 мм,970.1 x 563.9 x 81.7 мм,9.3 кг,9.2 кг,1.05x0.12x0.62 м,8.9 кг,Гарантия СЦ производителя,12 мес.,,
"40"" Телевизор Digma DM-LED40MBB21, FULL HD, черный",5,1,12 990,,DIGMA,,,,,,,,,,,есть,есть,есть,есть,есть,2 x 8 Вт,2.0,,есть,,FULL HD,,,,есть,есть,есть,есть,,,,,,есть,есть,мультимедийный,есть,"Различные форматы файлов видео, аудио, изображений",IEC75,3,1,,1,1,,2,встроенный,70 Вт,0.5 Вт,A,по бокам,черный,200x200,905.3 x 595.4 x 237.7 мм,905.3 x 514.8 x 82.7 мм,6.9 кг,6.8 кг,0.97x0.111x0.585 м,7.35 кг,Гарантия СЦ производителя,12 мес.,1,стандартный
