Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
"Компьютер Robotcomp Аллигатор 3.0 V3, розовый",0.0,0.0,53 490 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,38 см,21 см,42 см,9 кг,,Есть ,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Компьютер Robotcomp Аллигатор 3.0 V3 Plus, розовый",0.0,0.0,64 690 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,16 МБ,,,64 ГБ ,128 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.480 ТБ ,Интегрированная ,AMD ,AMD Radeon Graphics,SMA,Нет ,1000/100/10 Мбит/с,,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,38 см,21 см,42 см,9 кг,,Есть ,,1 ТБ,480 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Lenovo 90RX0022RS,0.0,0.0,61 890 р.,,Китай,1 год,Windows 10 Домашняя ,AMD ,Ryzen 7 5700G,3.8 ГГц ,4.6 ГГц,8 ,16 МБ,,,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Интегрированная ,NVIDIA ,Radeon Graphics,,Нет ,,,1 шт.,4 шт.,,1 шт.,,,,Вертикальное,260 Вт,29.91 см,14.5 см,34 см,5.65 кг,Серый,Есть ,IEEE 802.11ac,,,,,,,,,,Есть,,,Есть,SD,Есть,2 шт.,Есть,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт 1650,0.0,0.0,41 290 р.,,Россия,3 года,FreeDOS ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Черный,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Altos BrainSphere P10 F7 (US.RRKTA.01L),0.0,0.0,114 990 р.,,Китай,3 года,Нет ,Intel ,Core i5-11400,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,8 ГБ ,128 ГБ,DDR4,3200 МГц,4 шт.,SSD ,256 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,,,1000/100/10 Мбит/с,,1 шт.,2 шт.,,1 шт.,1,Есть,,Вертикальное,750 Вт,41.6 см,19 см,48.3 см,9.5 кг,"Красный, Черный",,,,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Altos BrainSphere P10 F7 (US.RRKTA.01M),0.0,0.0,129 990 р.,,Китай,3 года,Нет ,Intel ,Core i5-11400,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,,,8 ГБ ,128 ГБ,DDR4,3200 МГц,4 шт.,SSD ,256 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3080,,,1000/100/10 Мбит/с,,1 шт.,2 шт.,,1 шт.,1,Есть,,Вертикальное,750 Вт,41.6 см,19 см,48.3 см,9.5 кг,"Красный, Черный",,,,,Есть ,10 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Machenike Stars-V45R36D4w,0.0,0.0,101 390 р.,,Китай,1 год,Нет ,Intel ,Core i5-13600K,3.5 ГГц ,5.1 ГГц,14 ,24 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,,,,,2 шт.,,,1 шт.,,,Есть,Вертикальное,600 Вт,55.5 см,22.8 см,49.8 см,10.9 кг,"Серебристый, Черный",Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,Есть ,8 ГБ,2,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Игровой компьютер Machenike Stars-V47R36D4w,0.0,0.0,126 790 р.,,Китай,1 год,Нет ,Intel ,Core i7-13700,2.1 ГГц ,5.2 ГГц,16 ,30 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,,,,,2 шт.,,,1 шт.,,,Есть,Вертикальное,600 Вт,55.5 см,22.8 см,49.8 см,10.9 кг,"Серебристый, Черный",Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,Есть ,12 ГБ,2,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
Игровой компьютер Machenike Machcreator-X37R36T5w,0.0,0.0,167 190 р.,,Китай,1 год,FreeDOS ,Intel ,Core i7-13700,2.1 ГГц ,5.2 ГГц,16 ,30 МБ,,,16 ГБ ,,DDR4,3200 МГц,2 шт.,HDD+SSD ,1512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,,,,,1 шт.,1 шт.,,1 шт.,,,Есть,Вертикальное,650 Вт,49 см,17 см,27.4 см,9.8 кг,"Серебристый, Черный",Есть ,,1 ТБ,512 ГБ,Есть ,8 ГБ,1,,,,,,,,Есть,,,,,1 шт.,,,,,,,,,,,,,
Игровой компьютер Machenike Stars-V45KR36T4wt,0.0,0.0,129 690 р.,,Китай,1 год,Нет ,Intel ,Core i5-13600K,3.5 ГГц ,5.1 ГГц,14 ,24 МБ,,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,,,,,2 шт.,,,1 шт.,,,Есть,Вертикальное,600 Вт,55.5 см,22.8 см,49.8 см,10.9 кг,"Серебристый, Черный",Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,Есть ,8 ГБ,2,,,,,,,,Есть,,,,,,,,,,,,,,,,,,
