Название,Рейтинг,Количество отзывов,Цена,,Страна,Гарантия,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Производитель чипсета,Модель чипсета,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Тип видеопамяти,Тип оптического привода,LAN-адаптер,DVI,HDMI,USB 2.0,USB 3.0,LAN разъем (RJ-45),Line-In,Фронтальный разъем для наушников/микрофона 3.5мм,Подсветка корпуса,Размещение,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,Wi-Fi,Стандарт Wi-Fi,Объем первого накопителя,Объем второго накопителя,Игровой системный блок,Объем видеопамяти,DisplayPort,Типоразмер корпуса,Материал корпуса,Интерфейс подключения,USB 3.0 (Type-C),Разъем для наушников,Кабель питания,Разъем для наушников/микрофона,Bluetooth-адаптер,Картридер,VGA (D-Sub),USB 3.1,Разъем для микрофона,USB 3.2,Дополнительная информация,Фронтальный разъем для наушников 3.5мм,USB,Кэш L2,Количество ядер графического процессора,Thunderbolt/USB 4,PS/2,USB 3.1 (Type-C),Фронтальный разъем для микрофона 3.5мм,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink
Игровой компьютер Robotcomp Циркон V3 Plus,0.0,0.0,87 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1480 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,Есть ,,1 ТБ,480 ГБ,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс V2,0.0,0.0,176 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900F,2.4 ГГц ,5.1 ГГц,16 ,30 МБ,,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,800 Вт,44 см,23 см,47 см,12 кг,Черный,,,2 ТБ,512 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс V3,0.0,0.0,185 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900F,2.4 ГГц ,5.1 ГГц,16 ,30 МБ,,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,800 Вт,44 см,23 см,47 см,12 кг,Черный,Есть ,,2 ТБ,512 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Старт V3 White 1650,0.0,0.0,50 390 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i3-10100F,3.6 ГГц ,4.3 ГГц,4 ,6 МБ,,,8 ГБ ,64 ГБ,DDR4,2666 МГц,1 шт.,SSD ,480 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,GDDR5,,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,500 Вт,42 см,21 см,37 см,8 кг,Белый,,,,,Есть ,4 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор Мини,0.0,0.0,29 390 р.,,Россия,3 года,,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,Radeon Vega 7,,,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,,Вертикальное,300 Вт,37 см,10 см,34 см,9 кг,Черный,,,,,,,,Slim-Desktop ,"Металл, Пластик",,,,,,,,,,,,Материнская плата B450MWindows Trial (пробный период),,,,,,,,,,,,
Компьютер Robotcomp Аллигатор Мини V2,0.0,0.0,30 790 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,,,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,Radeon Vega 7,,,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,,Вертикальное,300 Вт,37 см,10 см,34 см,9 кг,Черный,,,,,,,,Slim-Desktop ,"Металл, Пластик",,,,,,,,,,,,Материнская плата B450M,,,,,,,,,,,,
Компьютер Robotcomp Аллигатор Мини V3 Plus,0.0,0.0,41 790 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 4600G,3.7 ГГц ,4.2 ГГц,6 ,8 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,AMD ,Radeon Vega 7,,,1000/100/10 Мбит/с,Есть,1 шт.,6 шт.,6 шт.,1 шт.,1,Есть,,Вертикальное,300 Вт,37 см,10 см,34 см,9 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,Slim-Desktop ,"Металл, Пластик",,,,,,,,,,,,Материнская плата B450MЛицензионный Microsoft Office,,,,,,,,,,,,
Игровой компьютер Robotcomp Циркон Plus,0.0,0.0,78 590 р.,,Россия,3 года,Нет ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,,,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1480 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,1 ТБ,480 ГБ,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Nerpa Hispida I7500TW (I750-110523),0.0,0.0,405 999 р.,,Россия,1 год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс White V2,0.0,0.0,176 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900F,2.4 ГГц ,5.1 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,800 Вт,44 см,23 см,47 см,12 кг,Белый,,,2 ТБ,512 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс Pink V2,0.0,0.0,176 990 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900F,2.4 ГГц ,5.1 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,800 Вт,44 см,23 см,47 см,12 кг,,,,2 ТБ,512 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс Pink V3,0.0,0.0,185 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900F,2.4 ГГц ,5.1 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.512 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,800 Вт,44 см,23 см,47 см,12 кг,,Есть ,,2 ТБ,512 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Штурм White V2,0.0,0.0,137 390 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,Белый,,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Штурм White V3,0.0,0.0,142 690 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i7-12700F,2.1 ГГц ,4.9 ГГц,12 ,25 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4060 Ti,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,700 Вт,45 см,21 см,46 см,8 кг,Белый,Есть ,,,,Есть ,8 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Штурм 2.0 White V2,0.0,0.0,167 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-13600KF,2.6 ГГц ,5.1 ГГц,14 ,24 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR5,4800 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,800 Вт,45 см,21 см,46 см,12 кг,Белый,,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Штурм 2.0 White V3,0.0,0.0,174 390 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-13600KF,2.6 ГГц ,5.1 ГГц,14 ,24 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR5,4800 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 4070,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,Есть,Вертикальное,800 Вт,45 см,21 см,46 см,8 кг,Белый,Есть ,,,,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 V2,0.0,0.0,211 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,Черный,,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 V3,0.0,0.0,230 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,Черный,Есть ,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 White V2,0.0,0.0,211 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,Белый,,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 White V3,0.0,0.0,230 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,Белый,Есть ,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 Pink V2,0.0,0.0,211 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,,,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Зевс 2.0 Pink V3,0.0,0.0,230 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i9-12900KF,3.2 ГГц ,5.2 ГГц,16 ,30 МБ,Intel,Z690M,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,HDD+SSD ,2.96 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 4070 Ti,GDDR6X,Нет ,1000/100/10 Мбит/с,,1 шт.,2 шт.,2 шт.,1 шт.,2,Есть,,Вертикальное,850 Вт,44 см,23 см,47 см,12 кг,,Есть ,,2 ТБ,960 ГБ,Есть ,12 ГБ,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Zero V2,0.0,0.0,86 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,16 МБ,AMD,B450М,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,1 шт.,2 шт.,1 шт.,1,Есть,Есть,Вертикальное,700 Вт,46 см,21 см,45 см,12 кг,Черный,,,,,Есть ,12 ГБ,1,,,M.2,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Magic Red,0.0,0.0,71 190 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Plus Magic Red,0.0,0.0,75 490 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Magic Red,0.0,0.0,74 890 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Plus Magic Red,0.0,0.0,80 590 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,,,,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Magic Red,0.0,0.0,80 190 р.,,Россия,3 года,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Plus Magic Red,0.0,0.0,85 890 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Черный,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,8 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 White,0.0,0.0,69 790 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Plus White,0.0,0.0,75 490 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 White,0.0,0.0,73 590 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Plus White,0.0,0.0,79 290 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Белый,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Plus White,0.0,0.0,84 590 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,44 см,8 кг,Белый,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Pink,0.0,0.0,69 790 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 Plus Pink,0.0,0.0,75 490 р.,,Россия,3 года,FreeDOS ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Pink,0.0,0.0,73 590 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V2 Plus Pink,0.0,0.0,79 290 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,32 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,,,,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp M16 2.0 V3 Pink,0.0,0.0,78 890 р.,,Россия,3 года,Windows 10 Профессиональная ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,Intel,H610M,16 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,960 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,GDDR6,Нет ,1000/100/10 Мбит/с,,1 шт.,4 шт.,3 шт.,1 шт.,1,Есть,Есть,Вертикальное,600 Вт,45 см,20 см,40 см,8 кг,,Есть ,"IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,Есть ,6 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,
