Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Тип светодиодной подсветки,Частота обновления,Таймер включения,eARC,Поддерживаемые форматы,Объем встроенной памяти,Акустическая схема,Батарейки для пульта ДУ,Количество ядер процессора,Объемное звучание,Тип матрицы,Угол обзора по вертикали,Угол обзора по горизонтали,Русифицированное меню,Гид по программам,Родительский контроль,Масштабирование,Модель процессора,Яркость,Динамическая контрастность,Время отклика,Количество тюнеров,Чтение карт памяти,Контрастность,Объем оперативной памяти,VGA (D-Sub),Коаксиальный аудиовход,Версия ОС на начало продаж,Любимые каналы,Технологии улучшения изображения,Эквалайзер,Производитель процессора,Автоматическая регулировка громкости,NFC,Композитный выход,Слот для карт памяти,Технологии улучшения звука,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера,Подсветка Ambilight,Изогнутый экран,Прогрессивная развертка,Изменение формата,Регулировка контрастности,Предустановки изображения,Автоматическая настройка,SCART,Гребенчатый фильтр,Частота процессора,Список программ,Антибликовое покрытие,Дополнительная информация,Поддержка 3D,Количество каналов,Ручная настройка,Встроенное радио
"Ultra HD (4K) LED телевизор 43"" LG 43UQ75006LF",30 999 р.,0.0,0.0,Китай,1 год,WebOS,,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,,Есть ,,Есть,,Есть,Есть ,,,Есть,200x200 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital,,Есть,,,,2.0,2.0,,,,,Есть,Есть ,1.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,20 Вт,,Direct LED,60 Гц ,Есть,Есть,,,2.0,Есть,,,,,,,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" GoldStar LT-24R800",11 990 р.,0.0,0.0,Россия,1 год,,100 Вт,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,,,Есть ,,,,100x100 ,,,,Есть,"DVB-C, DVB-T, DVB-T2 ",,,,,,,1.0,,,,,,Есть,Есть ,2.0,,,,,,,,Есть ,,,,33 см,55.2 см,8.2 см,,2.8 кг,Черный ,,"PAL, SECAM",2.0,12 Вт,3 кг,Direct LED,60 Гц ,,,,,2.0,,,,,178 °,178 ° ,,,,,,200 кд/м² ,,8 мс,,,80000:1,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 43"" Maunfeld MLT43FSX02",21 790 р.,5.0,2.0,Беларусь,1 год,Яндекс.ТВ,60 Вт,"43"" (109.2 см) ",LED ,1920x1080 Пикс (Full HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,Есть ,,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",Dolby Digital Plus,,Есть,Есть,Есть,Есть,1.0,2.0,,,Есть,Есть,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,16 Вт,,Direct LED,60 Гц ,,,,,,,,Есть,VA,170 °,170 ° ,,,,,,200 кд/м² ,,8 мс,,,1200:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" topdevice TDTV43BS06U_BK",16 390 р.,5.0,1.0,Россия,1 год,Android TV,90 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,Есть,Есть,200x200 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,Есть,,,3.0,,,,Есть,,,Есть ,2.0,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х8 Вт,,,,,,,,,,,,,178 °,178 ° ,,,,,,230 кд/м² ,,8 мс,,,4000:1,,,,11,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" topdevice TDTV55BS06U_BK",24 690 р.,5.0,1.0,Россия,1 год,Android TV,110 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,Есть,Есть,200x200 ,,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Audio,,Есть,Есть,,,3.0,,,,Есть,,,Есть ,2.0,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,,,,,,,,,,,178 °,178 ° ,,,,,,250 кд/м² ,,8 мс,,,6000:1,,,,11,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" GoldStar LT-32R900",12 490 р.,0.0,0.0,Россия,1 год,Android TV,55 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,Есть,,,Есть ,,,,,,,Есть,Есть,"DVB-C, DVB-T, DVB-T2 ",,,Есть,,,,2.0,,,,,,Есть,Есть ,2.0,Есть ,,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,Direct LED,60 Гц ,,,"MP3, AVI, MKV, JPEG, MPEG4",1 ГБ,2.0,,,,,178 °,178 ° ,,,,,Cortex-A55 quad core,220 кд/м² ,100000:1,8 мс,2.0,,,8 ГБ,,,9.0,,,,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 39"" Supra STV-LC39ST0045W",15 990 р.,0.0,0.0,Китай,1 год,Android TV,65 Вт,"39"" (99 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,Есть ,,,,,,,,Есть,200x200 ,Есть,Есть,,,"DVB-C, DVB-T, DVB-T2 ",,20 Вт,,,,,3.0,,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,55.3 см,89 см,12.2 см,51.1 см,89 см,8.1 см,,,Черный ,16:9,"PAL, SECAM",2.0,2х10 Вт,6.72 кг,,60 Гц ,,,,,2.0,,,Есть,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 43"" Grundig 43 GHU 7980",46 999 р.,5.0,4.0,Турция,1 год,,51.1 Вт,"43"" (109.2 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Xiaomi Mi TV A2 32 Black",46 999 р.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 55"" Grundig 55 GHU 7830",54 999 р.,5.0,4.0,Турция,1 год,,74.1 Вт,"55"" (139.7 см) ",LED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,,Есть,Есть ,Есть,,Есть,Есть,Есть,200x100 ,Есть,Есть,,Есть,"DVB-C, DVB-T, DVB-S2 ",Dolby Digital,,,,,,3.0,2.1,,,,,Есть,Есть ,2.0,Есть ,Есть,Есть ,,,,,Есть ,,,,,,,,,,16:9,"PAL, SECAM",2.0,2х10 Вт,,,60 Гц ,,,,,,,,,,,,,,,Есть,,,,,,,,,,,11,,Micro Dimming 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
