Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Thunderobot Alpha D i5-12400/16GB/SSD512/GTX1650/DOS,5.0,19.0,59 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-alpha-d-i5-12400-16gb-ssd512-gtx1650-dos/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,1 шт.,1,6 шт.,3 шт.,1 шт.,Есть,Midi-Tower ,Есть,300 Вт,44 см,20 см,33.5 см,5.84 кг,Черный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Thunderobot BW III Pro XL D i5-12400/32G/SSD512G/RTX3060/noOS,5.0,14.0,99 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-bw-iii-pro-xl-d-i5-12400-32g-ssd512g-rtx3060-noos/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,32 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,2 шт.,3,5 шт.,,1 шт.,Есть,,Есть,600 Вт,51 см,21 см,52 см,11.4 кг,Черный,5 шт.,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер ASUS ROG G15 Tower DT G15DK-R5600X0040,5.0,12.0,111 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-asus-rog-g15-tower-dt-g15dk-r5600x0040/,Китай,1 год,Есть ,Нет ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,32 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,2 шт.,3,,5 шт.,1 шт.,Есть,Midi-Tower ,Есть,,49.8 см,18.5 см,42.1 см,11 кг,Черный,,,Нет ,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",1 шт.,Вертикальное,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM114003070,5.0,3.0,129 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm114003070/,Россия,6 месяцев,,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,3070 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,,Midi-Tower ,,800 Вт,44.6 см,20.4 см,39.6 см,8.5 кг,Черный,,,,,,,,Вертикальное,1 ТБ,500 ГБ,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер iRU 310H5GE i3 10105/16GB/SSD 512GB/GTX1650/DOS (1839963),5.0,9.0,45 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-iru-310h5ge-i3-10105-16gb-ssd-512gb-gtx1650-dos-1839963/,Россия,3 года,Есть ,Нет ,Intel ,Core i3-10105,3.7 ГГц ,4.4 ГГц,4 ,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,,1 шт.,,Midi-Tower ,,500 Вт,,,,7 кг,Черный,,,Нет ,,,,2 шт.,,,,,,6 МБ,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MUST MBM3600110722,5.0,10.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm3600110722/,Россия,6 месяцев,Есть ,Нет ,AMD ,Ryzen 5 Pro 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,,500 Вт,47.9 см,20.4 см,44.5 см,8.5 кг,Черный,,,,,,,,,1 ТБ,512 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Predator Orion 3000 PO3-630 (DG.E2CMC.003),5.0,5.0,112 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-acer-po3-630-i5-11400f-16gb-ssd-512gb-2tb-rtx3070/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,HDD+SSD ,2 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3070,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,3 шт.,1 шт.,Есть,,Есть,700 Вт,34 см,16 см,35 см,7.4 кг,Черный,7 шт.,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",2 шт.,Вертикальное,512 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Acer Nitro 50 N50-640 (DG.E2VER.003),5.0,13.0,99 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-nitro-50-n50-640-dg-e2ver-003/,Китай,1 год,,Windows 11 Домашняя ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,1 ТБ ,Дискретная ,NVIDIA ,RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,4 шт.,3 шт.,1 шт.,Есть,Midi-Tower ,,,34 см,16.3 см,35 см,7.4 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",1 шт.,Вертикальное,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Aspire TC-1660 DG.BGZER.00L,5.0,14.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-aspire-tc-1660-dg-bgzer-00l/,Китай,1 год,Есть ,Windows 10 Домашняя x64 ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,2 шт.,,4 шт.,2 шт.,1 шт.,Есть,Full-Tower ,,500 Вт,34 см,16.3 см,35 см,7.4 кг,Черный,,,Нет ,,,,,Вертикальное,,,,,,,1 шт.,1 шт.,Есть,Пластик,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer TC-1660 (DG.BGZER.010),4.0,12.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-tc-1660-dg-bgzer-010/,Китай,1 год,,Windows 11 Домашняя ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,8 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,,,2 шт.,,4 шт.,,1 шт.,Есть,,,300 Вт,35 см,16.3 см,34 см,10 кг,Черный,,,,,,,,,,,,,,,3 шт.,1 шт.,,,Есть,Коррекция фактора мощности (PFC),,,,,,,,,,,,,,,,,,,,
Игровой компьютер Acer Aspire TC-1660 (DG.BGZER.011),5.0,15.0,54 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-aspire-tc-1660-dg-bgzer-011/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,,,,2 шт.,,4 шт.,2 шт.,1 шт.,Есть,Mini-Tower ,,300 Вт,34 см,16.3 см,35 см,7.4 кг,Черный,,,,,,,,,,,,,,,1 шт.,1 шт.,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM114003060,5.0,9.0,99 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm114003060/,Россия,6 месяцев,,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,,700 Вт,44.6 см,20.4 см,39.6 см,8.5 кг,Черный,,,,,,,,,1 ТБ,500 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер MUST MBM36003050,4.0,3.0,74 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm36003050/,Россия,6 месяцев,,Нет ,AMD ,Ryzen 5 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.5 ТБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,,4 шт.,5 шт.,1 шт.,Есть,Midi-Tower ,,600 Вт,44.1 см,20.2 см,40 см,8.5 кг,Черный,,,,,,,,,1 ТБ,512 ГБ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер HP Slim S01-aF0024ur (465L5EA),5.0,17.0,16 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-hp-slim-s01-af0024ur-465l5ea/,Китай,1 год,,Windows 10 Домашняя x64 ,AMD ,Athlon 3050U,2.3 ГГц ,3.2 ГГц,2 ,,4 ГБ ,16 ГБ,DDR4,2400 МГц,1 шт.,SSD ,256 ГБ ,Интегрированная ,AMD ,Radeon Graphics,,,,,,1 шт.,,4 шт.,,1 шт.,Есть,Slim-Desktop ,,180 Вт,27 см,30.3 см,9.5 см,3.02 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,4 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Lenovo IdeaCentre 3 07ADA05 (90MV004BRS),5.0,10.0,29 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-lenovo-ideacentre-3-07ada05-90mv004brs/,Китай,1 год,,Windows 10 ,AMD ,Ryzen 3 3250U,2.6 ГГц ,3.5 ГГц,2 ,4 МБ,8 ГБ ,16 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.125 ТБ ,Интегрированная ,AMD ,Radeon,,,,,,1 шт.,,6 шт.,,1 шт.,,Mini-Tower ,,90 Вт,40 см,20 см,51.3 см,3.55 кг,Серый,8 шт.,,Нет ,,,,,,1 ТБ,128 ГБ,,,,Есть,2 шт.,,,,,,"SD, MMC, MS",,,,,,,,,,,,,,,,,,,
Компьютер Acer Aspire XC-330 (DT.BD2ER.001),4.0,53.0,10 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-acer-aspire-xc-330-dt-bd2er-001/,Китай,1 год,,Windows 10 Домашняя x64 ,AMD ,A4-9120e,1.5 ГГц ,2.2 ГГц,2 ,,4 ГБ ,16 ГБ,DDR3,2133 МГц,,HDD ,500 ГБ ,Интегрированная ,AMD ,Radeon R2,,,1000/100/10 Мбит/с,Есть,,1 шт.,,3 шт.,,1 шт.,,,,65 Вт,29.5 см,10 см,33 см,5.5 кг,Черный,,Есть,Нет ,,,,,,,,,,1 МБ,,3 шт.,,Есть,Пластик,,,SD,SATA-III,7200 об/мин,Есть,,,,,,,,,,,,,,,,
Игровой компьютер Thunderobot Alpha XD i5-12400/16Gb/SSD512Gb/RTX3050/noOS,5.0,16.0,79 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-alpha-xd-i5-12400-16gb-ssd512gb-rtx3050-noos/,Китай,1 год,Есть ,Нет ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,3,4 шт.,4 шт.,1 шт.,Есть,Midi-Tower ,Есть,400 Вт,44 см,20 см,33.5 см,6.7 кг,Черный,8 шт.,,,,,,1 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Thunderobot BW III Pro D i5-12400/16Gb/SSD512Gb/RTX3060/noOS,5.0,14.0,89 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-thunderobot-bw-iii-pro-d-i5-12400-16gb-ssd512gb-rtx3060-noos/,Китай,1 год,Есть ,FreeDOS ,Intel ,Core i5-12400,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,2 шт.,3,5 шт.,,1 шт.,Есть,,Есть,600 Вт,51 см,21 см,52 см,11.4 кг,Черный,5 шт.,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Системный блок Raskat Standart500 (1053030,5.0,11.0,33 999 р.,https://www.eldorado.ru/cat/detail/sistemnyy-blok-raskat-standart500-1053030/,Россия,3 года,,Нет ,Intel ,Core i5-10400,2.9 ГГц ,4.3 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,2 шт.,2 шт.,1 шт.,,Midi-Tower ,,,43.1 см,22.5 см,40 см,9.8 кг,Черный,6 шт.,,,,,,,,,,3,Есть,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер 4Aces Joker JK114 (i5-11400F/16Gb/SSD512GB/1TB/RTX3060/Win Trial),4.0,14.0,84 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-4aces-joker-jk11400f3060111122/,Россия,6 месяцев,Есть ,Windows 11 Пробная версия ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,2,4 шт.,4 шт.,1 шт.,,,Есть,800 Вт,47.3 см,19.5 см,42.7 см,,Черный,8 шт.,,,,,,,,1 ТБ,512 ГБ,,,,Есть,,,,,Есть,,,,,,Европейская (Тип F),,,,,,,,,,,,,,,
Игровой компьютер MSI MAG Codex 5 11SC-1037XRU,5.0,7.0,93 899 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-5-11sc-1037xru/,Россия,1 год,Есть ,Нет ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 2060,6 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,3,4 шт.,,1 шт.,Есть,Midi-Tower ,Есть,500 Вт,46.6 см,19.5 см,51.48 см,9.4 кг,Черный,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11ax, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер MSI MAG Meta 5 5EDQ-1480XRU (9S6-B93091-1480),5.0,3.0,105 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-meta-5-5edq-1480xru-9s6-b93091-1480/,Китай,2 года,Есть ,Нет ,AMD ,Ryzen 5 5600G,3.9 ГГц ,4.4 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,2933 МГц,2 шт.,HDD+SSD ,1.512 ТБ ,Дискретная ,AMD ,Radeon RX 6600 XT,8 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,2 шт.,3,2 шт.,,1 шт.,,Midi-Tower ,,500 Вт,46.6 см,19.5 см,51.5 см,10 кг,Черный,2 шт.,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,1 ТБ,512 ГБ,3,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat Raskat Standart 500 99790 (i5-11400/8GB/256GB/UHD/NOOS),5.0,11.0,31 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-standart-500-99790/,Россия,3 года,,Нет ,Intel ,Core i5-11400,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,8 ГБ ,64 ГБ,DDR4,2666 МГц,2 шт.,SSD ,256 ГБ ,Интегрированная ,Intel ,UHD Graphics,,,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,2 шт.,1 шт.,Есть,Midi-Tower ,,,40 см,21 см,45 см,4.6 кг,Черный,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat Standart 520 i5-10400F/16GB/256GB+1TB/GTX1650 (105842),5.0,8.0,51 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-standart-520-i5-10400f-16gb-256gb-1tb-gtx1650-105842/,Россия,3 года,,Нет ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1.256 ТБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR5,1000/100/10 Мбит/с,Есть,,1 шт.,,5 шт.,3 шт.,1 шт.,Есть,Midi-Tower ,,500 Вт,35.5 см,36 см,17 см,6 кг,Черный,8 шт.,,,,,,,,1 ТБ,256 ГБ,3,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер 4Aces Hold'em (R5-3600/16Gb/512Gb/RX6400/Win Trial),5.0,10.0,46 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-4aces-hold-em-hl3600r6400111122/,Россия,6 месяцев,Есть ,Windows 11 Пробная версия ,AMD ,Ryzen 5 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,AMD ,Radeon RX 6400 4ГБ,4 ГБ,GDDR6,1000/100/10 Мбит/с,,,2 шт.,1,4 шт.,3 шт.,1 шт.,,,Есть,500 Вт,44 см,19 см,40 см,,Черный,7 шт.,,,,,,,,,,,,,Есть,,,,,Есть,,,,,,Европейская (Тип F),,,,,,,,,,,,,,,
"Компьютер iRU 310H5GE, i5 11400F/16GB/SSD 512GB/RTX3050/DOS (1833197)",5.0,9.0,64 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-iru-310h5ge-i5-11400f-16gb-ssd-512gb-rtx3050-dos-1833197/,Россия,3 года,,FreeDOS ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,,3200 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,,1 шт.,,2 шт.,,1 шт.,Есть,Midi-Tower ,,500 Вт,,,,7 кг,Черный,,Есть,,,,,4 шт.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Компьютер Raskat STRIKE 520 103695 (i5-10400F/16GB/SSD256GB/HDD1TB/GTX1650/NOOS),5.0,9.0,49 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-raskat-strike-520-i5-10400f-16g-ssd-256g-hdd1t-gtx1650-103695/,Россия,3 года,,Нет ,Intel ,Core i5-10400F,2.9 ГГц ,4.3 ГГц,6 ,,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,HDD+SSD ,1.256 ТБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,,,1000/100/10 Мбит/с,,,2 шт.,3,,4 шт.,1 шт.,,Mini-Tower ,Есть,,24.9 см,12.6 см,26.5 см,4.84 кг,Черный,8 шт.,,,,,,4 шт.,,1 ТБ,256 ГБ,1,,12 МБ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер 4Aces Spades (SP10105F1650111122),5.0,10.0,45 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-4aces-spades-sp10105f1650111122/,Россия,6 месяцев,Есть ,Нет ,Intel ,Core i3-10105F,3.7 ГГц ,4.4 ГГц,4 ,,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,1 шт.,1,4 шт.,2 шт.,1 шт.,,,Есть,600 Вт,44 см,19 см,40 см,,Черный,6 шт.,,,,,,,,1 ТБ,512 ГБ,,,6 МБ,Есть,,,,,Есть,,,,,,Европейская (Тип F),,,,,,,,,,,,,,,
Игровой компьютер MSI MAG Codex 5 11SI-1476XRU,5.0,9.0,75 799 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-msi-mag-codex-5-11si-1476xru/,Китай,2 года,Есть ,FreeDOS ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,12 МБ,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,SSD ,500 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1660 SUPER,6 ГБ,GDDR6,1000/100/10 Мбит/с,,Есть,2 шт.,4,,,1 шт.,Есть,,Есть,500 Вт,51.48 см,19.5 см,46.6 см,9.4 кг,Черный,,,Нет ,Есть,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер ASUS G10DK-A3400G062W (90PF02S1-M005H0),5.0,2.0,62 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-asus-g10dk-a3400g062w-90pf02s1-m005h0/,Тайвань,1 год,Есть ,Windows 11 Домашняя ,AMD ,Ryzen 5 3400G,3.7 ГГц ,4.2 ГГц,4 ,6 МБ,8 ГБ ,64 ГБ,DDR4,2400 МГц,4 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce GTX 1650,4 ГБ,GDDR6,1000/100/10 Мбит/с,Есть,Есть,2 шт.,1,,4 шт.,1 шт.,Есть,Mini-Tower ,,550 Вт,42.8 см,18 см,43 см,8 кг,Серый,,,,Есть,Есть ,"IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,,,,,,Есть,,,,,,,,,,,,,,
Компьютер MUST MBM1010541022,5.0,1.0,29 999 р.,https://www.eldorado.ru/cat/detail/kompyuter-must-mbm1010541022/,Россия,6 месяцев,,Нет ,Intel ,Core i3-10105,3.7 ГГц ,4.4 ГГц,4 ,6 МБ,16 ГБ ,32 ГБ,DDR4,2666 МГц,2 шт.,SSD ,480 ГБ ,Интегрированная ,Intel ,UHD Graphics 630,,,1000/100/10 Мбит/с,Есть,,1 шт.,,4 шт.,2 шт.,1 шт.,,Mini-Tower ,,450 Вт,35 см,17 см,32.5 см,5.5 кг,Черный,,,,,,,,Вертикальное,,,1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер 4Aces BlackJack BJ360 (R5-3600/16Gb/512Gb/HDD1Tb/RTX3050/Win Trial),4.0,13.0,67 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-4aces-blackjack-bj3600r3050111122/,Россия,6 месяцев,Есть ,Windows 11 Пробная версия ,AMD ,Ryzen 5 3600,3.6 ГГц ,4.2 ГГц,6 ,32 МБ,16 ГБ ,32 ГБ,DDR4,3200 МГц,2 шт.,HDD+SSD ,1 ТБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,,1000/100/10 Мбит/с,,,2 шт.,2,4 шт.,3 шт.,1 шт.,,,,650 Вт,44 см,19 см,40 см,,Черный,7 шт.,,,,,,,,1 ТБ,512 ГБ,,,,Есть,,,,,Есть,,,,,,Европейская (Тип F),,,,,,,,,,,,,,,
Игровой компьютер Acer Nitro N50-620 (DG.E2DER.00C),5.0,7.0,99 999 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-acer-nitro-n50-620-dg-e2der-00c/,Китай,1 год,Есть ,Windows 10 Профессиональная ,Intel ,Core i5-11400F,2.6 ГГц ,4.4 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3200 МГц,4 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060 Ti,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,2 шт.,2 шт.,1 шт.,,,,500 Вт,39.2 см,17.5 см,38.6 см,10 кг,Черный,,,,,,,1 шт.,Вертикальное,,,,,12 МБ,,,,,Металл,,,,,,Есть,,,,,,,,,,,,,,,,
