Название,Рейтинг,Количество отзывов,Цена,link,Страна,Гарантия,Игровой системный блок,Операционная система,Производитель процессора,Модель процессора,Тактовая частота,Максимальная тактовая частота,Количество ядер,Кэш L3,Объем оперативной памяти,Максимальный объем,Тип оперативной памяти,Частота памяти,Слоты для оперативной памяти,Тип накопителя,Объем накопителя,Тип видеокарты,Производитель видеокарты,Модель видеокарты,Объем видеопамяти,Тип видеопамяти,LAN-адаптер,VGA (D-Sub),DVI,HDMI,DisplayPort,USB 2.0,USB 3.0,LAN разъем (RJ-45),Фронтальный разъем для наушников/микрофона 3.5мм,Типоразмер корпуса,Подсветка корпуса,Мощность блока питания,Высота,Ширина,Глубина,Вес,Цвет,USB,Разъем для наушников,Тип оптического привода,Bluetooth-адаптер,Wi-Fi,Стандарт Wi-Fi,USB 3.0 (Type-C),Размещение,Объем первого накопителя,Объем второго накопителя,Line-In,Фронтальный разъем для наушников 3.5мм,Кэш L2,Разъем для наушников/микрофона,USB 3.1,USB 3.1 (Type-C),Разъем для микрофона,Материал корпуса,Фронтальный разъем для микрофона 3.5мм,Дополнительная информация,Картридер,Интерфейс подключения,Скорость вращения шпинделя,Кабель питания,Тип вилки,PS/2,Производитель чипсета,Модель чипсета,Количество ядер графического процессора,Thunderbolt/USB 4,USB 3.2,Звуковая карта,Speaker-Out,Thunderbolt 3,Toslink,USB 3.2 (Type-C),Клавиатура,Мышь,Последовательный порт RS-232,Разрядность
Игровой компьютер Robotcomp Триумф V2 White,0.0,0.0,83 590 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-triumf-v2-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,,1 шт.,,Есть,,Есть,700 Вт,45 см,22 см,40 см,12 кг,Белый,,,Нет ,,,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Триумф V3 White,0.0,0.0,88 890 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-triumf-v3-white/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,Intel ,Core i5-12400F,2.5 ГГц ,4.4 ГГц,6 ,18 МБ,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3060,12 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,2,,1 шт.,1 шт.,Есть,,Есть,700 Вт,45 см,22 см,40 см,12 кг,Белый,,,Нет ,,Есть ,,,Вертикальное,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера,0.0,0.0,71 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera/,Россия,3 года,Есть ,FreeDOS ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,,1 шт.,Есть,,Есть,700 Вт,49.1 см,23 см,38.6 см,12 кг,Белый,,Есть,Нет ,,,,2 шт.,Вертикальное,,,,,,,,,,,,,,M.2,,Есть,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера Plus,0.0,0.0,77 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera-plus/,Россия,3 года,Есть ,FreeDOS ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,,1 шт.,Есть,,Есть,700 Вт,49.1 см,23 см,38.6 см,12 кг,Белый,,Есть,Нет ,,,,2 шт.,Вертикальное,,,,,,,,,,,,,,M.2,,Есть,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера V2,0.0,0.0,75 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera-v2/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,,1 шт.,Есть,,Есть,700 Вт,49.1 см,23 см,38.6 см,12 кг,Белый,,Есть,Нет ,,,,2 шт.,Вертикальное,,,,,,,,,,,,,,M.2,,Есть,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера V2 Plus,0.0,0.0,81 490 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera-v2-plus/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,GeForce RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,,1 шт.,Есть,,Есть,700 Вт,49.1 см,23 см,38.6 см,12 кг,Белый,,Есть,Нет ,,,,2 шт.,Вертикальное,,,,,,,,,,,,,,M.2,,Есть,,,AMD,B450М,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера V3,0.0,0.0,81 190 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera-v3/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,,,Есть,696 Вт,48 см,20.4 см,44.5 см,10 кг,Белый,,Есть,,,Есть ,,,,,,1,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Пантера V3 Plus,0.0,0.0,86 790 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-pantera-v3-plus/,Россия,3 года,Есть ,Windows 10 Профессиональная x64 ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,32 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,,,Есть,696 Вт,48 см,20.4 см,44.5 см,10 кг,Белый,,Есть,,,Есть ,,,,,,1,,,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Черная Пантера,0.0,0.0,71 990 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-chernaya-pantera/,Россия,3 года,Есть ,FreeDOS ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,696 Вт,48 см,20.4 см,44.5 см,10 кг,Черный,,,Нет ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Игровой компьютер Robotcomp Черная Пантера Plus,0.0,0.0,77 690 р.,https://www.eldorado.ru/cat/detail/igrovoy-kompyuter-robotcomp-chernaya-pantera-plus/,Россия,3 года,Есть ,FreeDOS ,AMD ,Ryzen 5 5600X,3.7 ГГц ,4.6 ГГц,6 ,,16 ГБ ,64 ГБ,DDR4,3000 МГц,2 шт.,SSD ,512 ГБ ,Дискретная ,NVIDIA ,RTX 3050,8 ГБ,GDDR6,1000/100/10 Мбит/с,,,1 шт.,1,1 шт.,2 шт.,1 шт.,Есть,,Есть,696 Вт,47 см,22 см,39 см,12 кг,Черный,,,Нет ,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
