Мощность сабвуфера,Операционная система,Цифровое шумоподавление,Цвет,Поддержка NFC,Количество отзывов,Размер VESA,Название,Вес без подставки,Время отклика пикселя,Разъем для наушников,Яркость экрана,Соотношение сторон,Акустическая схема,Рейтинг,Цена,Встроенный Wi-Fi,Объем оперативной памяти,Гарантия,Прогрессивная развертка,Страна производитель,Разрешение,Встроенный сабвуфер,Тип панели,Таймер включения/выключения,Управление со смартфона,Встроенный Bluetooth,Контрастность,Поддержка HDR,Диагональ,Объем встроенной памяти,Телетекст,Частота обновления,Родительский контроль
0,0,1.0,0,0.0,10.0,2,"32"" polarline 32pl12tc",4.0,0.0,1.0,0.0,0,0,5.0,8720.0,0.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,8,0.0,0,0.0,4.0,12,"23.6"" bbk 24lex-7289/ts2c",0.0,0.0,1.0,0.0,0,4,5.0,8990.0,1.0,1.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,1,1.0,0,0.0,33.0,3,"55"" hyundai h-led55eu7008",13.5,0.0,1.0,0.0,0,0,4.9,30720.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,1,1.0,0,0.0,6.0,6,"65"" hyundai h-led65qbu7500",19.0,6.5,0.0,400.0,1,4,4.8,53990.0,1.0,2.0,12.0,1.0,2,3,0.0,8,1.0,0.0,1.0,5000,1.0,165.0,16.0,1.0,60.0,1.0
0,1,0.0,0,0.0,9.0,7,"70"" philips 70pus7956/60",24.6,0.0,1.0,0.0,0,0,4.1,79990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,8.0,1.0,0.0,0.0
0,0,0.0,0,0.0,2.0,0,"32"" samsung ue32t4500auxce",4.0,0.0,0.0,0.0,0,0,5.0,23450.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,8,1.0,0,0.0,9.0,3,"40"" starwind sw-led40sg300",5.7,9.5,1.0,220.0,1,0,4.9,15890.0,1.0,1.0,12.0,1.0,2,2,0.0,3,0.0,0.0,1.0,5000,0.0,102.0,8.0,0.0,60.0,0.0
0,8,1.0,0,0.0,11.0,3,"32"" hyundai h-led32fs5005",3.7,0.0,1.0,0.0,0,0,2.5,10490.0,1.0,1.0,12.0,1.0,0,0,0.0,6,1.0,1.0,1.0,0,0.0,0.0,8.0,0.0,0.0,1.0
0,1,1.0,0,0.0,11.0,9,"50"" haier smart tv s1",10.3,8.0,1.0,280.0,1,4,5.0,27990.0,1.0,1.5,12.0,0.0,10,3,0.0,3,1.0,0.0,1.0,5000,1.0,127.0,8.0,0.0,60.0,1.0
0,8,0.0,0,0.0,6.0,0,"31.5"" yuno ulx-32tcsw2234",0.0,0.0,1.0,0.0,0,4,4.8,10590.0,1.0,1.5,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,1,1.0,0,0.0,4.0,9,"50"" haier smart tv s3",8.2,6.5,1.0,320.0,0,4,5.0,34990.0,1.0,0.0,12.0,0.0,10,3,0.0,8,1.0,0.0,1.0,6000,1.0,127.0,0.0,0.0,60.0,1.0
0,0,0.0,0,0.0,2.0,3,"55"" samsung qe55qn85bauxce",17.2,0.0,0.0,0.0,0,1,4.0,129990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0
20,5,0.0,0,0.0,4.0,9,"65"" hisense 65u8hq",26.5,0.0,0.0,0.0,0,2,4.8,149990.0,1.0,0.0,12.0,0.0,0,0,1.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,0,0.0,0,0.0,1.0,3,"55"" samsung qe55q60bauxce",14.7,0.0,0.0,0.0,0,4,5.0,79990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,7,1.0,0,0.0,16.0,3,"55"" hyundai h-led55fu7004",12.44,0.0,1.0,0.0,0,0,4.1,25980.0,1.0,0.0,12.0,1.0,0,0,0.0,6,1.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,1,1.0,0,0.0,23.0,3,"55"" hyundai h-led55qbu7500",12.5,6.5,0.0,350.0,1,4,4.3,43990.0,1.0,2.0,12.0,1.0,2,3,0.0,8,1.0,0.0,1.0,5000,1.0,140.0,16.0,1.0,60.0,1.0
0,8,1.0,0,0.0,9.0,12,"24"" yuno ulx-24tcs221",0.0,0.0,1.0,0.0,0,0,4.7,8390.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,8,0.0,0,0.0,2.0,2,"43"" telefunken tf-led43s97t2su\y\h",0.0,0.0,1.0,0.0,0,4,4.0,19990.0,1.0,1.5,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,6,1.0,0,0.0,1.0,3,"43"" lg 43nano776qa.aru",9.2,0.0,0.0,0.0,0,4,5.0,61990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,8,0.0,0,0.0,5.0,0,"32"" bbk 32lex-7290/ts2c",0.0,0.0,1.0,0.0,0,0,4.8,11290.0,1.0,1.0,12.0,1.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,8.0,0.0,0.0,0.0
0,0,1.0,0,0.0,4.0,0,"32"" digma dm-led32mbb21",4.75,8.5,1.0,200.0,1,0,5.0,8890.0,0.0,0.0,12.0,1.0,2,1,0.0,3,1.0,0.0,0.0,3000,0.0,81.0,0.0,1.0,60.0,1.0
0,5,1.0,0,0.0,3.0,9,"85"" hisense 85a6bg",41.0,0.0,1.0,0.0,0,4,5.0,129990.0,1.0,0.0,12.0,1.0,0,0,0.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,0.0,0,0.0,1.0,0,"31.5"" yuno ulm-32tcw115",4.1,0.0,1.0,0.0,0,0,5.0,7990.0,0.0,0.0,12.0,1.0,0,0,0.0,6,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
0,7,1.0,0,0.0,18.0,3,"43"" hyundai h-led43fu7004",7.44,0.0,1.0,0.0,0,0,3.8,18260.0,1.0,1.0,12.0,1.0,0,0,0.0,6,1.0,0.0,1.0,0,1.0,0.0,8.0,1.0,0.0,1.0
0,0,0.0,0,0.0,3.0,3,"40"" supra stv-lc40lt00100f",7.2,0.0,0.0,0.0,0,0,5.0,12890.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,0.0,0,0.0,0.0,9,"65"" samsung qe65q60bauxce",20.9,8.0,0.0,0.0,1,0,0.0,105810.0,1.0,0.0,12.0,1.0,13,3,0.0,8,0.0,1.0,1.0,0,1.0,165.0,0.0,1.0,60.0,1.0
0,1,0.0,0,0.0,1.0,0,"32"" tcl 32s5400a",3.4,0.0,0.0,0.0,0,4,5.0,12990.0,1.0,1.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,8.0,0.0,0.0,1.0
20,5,1.0,0,0.0,1.0,9,"75"" hisense 75u8hq",38.5,0.0,1.0,0.0,0,2,5.0,224990.0,1.0,0.0,12.0,1.0,0,0,1.0,6,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,1.0
0,0,1.0,0,0.0,4.0,3,"40"" starwind sw-led40bg200",5.7,9.5,0.0,220.0,1,0,4.8,13690.0,0.0,1.0,12.0,1.0,2,2,0.0,3,0.0,0.0,0.0,5000,0.0,102.0,8.0,1.0,60.0,1.0
0,0,0.0,0,0.0,11.0,3,"50"" hyundai h-led50fu7004",9.94,0.0,0.0,0.0,0,0,3.5,23090.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"24"" lg 24lp451v-pz.arub",0.0,0.0,0.0,0.0,0,0,0.0,12990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,0,"32"" bbk 32lem-1088/ts2c",0.0,0.0,1.0,0.0,0,0,0.0,9490.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0,0.0,17.0,14,"40"" sunwind sun-led40b12",0.0,0.0,0.0,0.0,0,0,3.8,11540.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,6.0,14,"43"" starwind sw-led43ug401",0.0,0.0,0.0,0.0,0,0,5.0,17690.0,0.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"31.5"" telefunken tf-led32s18t2s(черный)\h",0.0,0.0,0.0,0.0,0,0,0.0,10590.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"43"" samsung qe43q60bauxce",0.0,0.0,0.0,0.0,0,0,5.0,57990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,0.0,0,0.0,1.0,3,"55"" samsung qe55qn90bauxce",17.7,0.0,0.0,0.0,0,0,5.0,217590.0,1.0,0.0,12.0,0.0,0,0,1.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,1.0
0,0,0.0,0,0.0,3.0,14,"32"" starwind sw-led32bg200",0.0,0.0,0.0,0.0,0,0,4.3,9390.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"32"" polarline 32pl53tc-sm",0.0,0.0,0.0,0.0,0,0,0.0,13010.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,14,"65"" philips 65pus8507/60",0.0,0.0,0.0,0.0,0,0,5.0,89990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"32"" grundig 32ggh6900b",0.0,0.0,0.0,0.0,0,0,0.0,24990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,2.0,14,"32"" sunwind sun-led32xs311",0.0,0.0,0.0,0.0,0,0,5.0,11390.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,1.0,3,"43"" samsung ue43bu8000uxce",8.1,0.0,0.0,0.0,0,4,5.0,44990.0,1.0,0.0,12.0,0.0,0,0,0.0,6,0.0,0.0,1.0,0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"50"" lg 50uq80006lb.adkg",0.0,0.0,0.0,0.0,0,0,0.0,47990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,0.0,14,"43"" grundig 43gfu7800b",0.0,0.0,0.0,0.0,0,0,0.0,39990.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.0,0,0.0,2.0,14,"32"" hyundai h-led32bs5001",0.0,0.0,0.0,0.0,0,0,5.0,10500.0,0.0,0.0,0.0,0.0,0,0,0.0,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
