Цена,Акустическая схема,Таймер включения/выключения,Разъем для наушников,Встроенный сабвуфер,Прогрессивная развертка,Вес без подставки,Время отклика пикселя,Гарантия,Разрешение,Поддержка NFC,Управление со смартфона,Встроенный Wi-Fi,Встроенный Bluetooth,Поддержка HDR,Контрастность,Размер VESA,Телетекст,Яркость экрана,Мощность сабвуфера,Частота обновления,Родительский контроль,Диагональ,Страна производитель,Операционная система,Название,Соотношение сторон,Объем встроенной памяти,Объем оперативной памяти,Рейтинг,Количество отзывов,Тип панели,Цвет,Цифровое шумоподавление
14999.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,0.0,1.0,1.0,0.0,1000.0,14,0.0,240.0,0.0,0.0,0.0,0.0,16,1," 32"" artel ua32h3200",1,8.0,1.5,5.0,8.0,3,0,1.0
59999.0,0,1.0,0.0,0.0,0.0,0.0,8.0,12.0,3,0.0,1.0,0.0,0.0,1.0,5000.0,14,0.0,350.0,0.0,60.0,0.0,0.0,10,1," 65"" haier 65 smart tv ax pro",1,0.0,0.0,5.0,14.0,8,0,1.0
49999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,9,0.0,0.0,0.0,60.0,0.0,0.0,10,5," 65"" toshiba 65c350le",1,0.0,0.0,5.0,2.0,8,0,1.0
10499.0,0,0.0,1.0,0.0,0.0,0.0,8.0,12.0,1,0.0,0.0,1.0,1.0,1.0,1100.0,3,0.0,200.0,0.0,60.0,0.0,0.0,2,1," 32"" skyworth 32ste6600",1,8.0,1.5,5.0,10.0,3,0,0.0
34999.0,0,1.0,0.0,0.0,0.0,0.0,8.0,12.0,3,0.0,0.0,0.0,0.0,1.0,5000.0,14,0.0,320.0,0.0,60.0,0.0,127.0,10,1," 50"" haier 50 smart tv s3",1,0.0,0.0,5.0,22.0,8,0,1.0
19999.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,1,0.0,350.0,0.0,60.0,0.0,0.0,13,1," 43"" philips 43pus7406/60",1,0.0,0.0,4.0,13.0,3,0,1.0
29999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,10,5," 43"" toshiba 43c350le",1,0.0,0.0,5.0,4.0,3,0,1.0
13999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2,0.0,0.0,1.0,1.0,0.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,2,8," 43"" hi vhix-43f169msy",1,0.0,0.0,4.0,9.0,3,0,1.0
54999.0,0,1.0,0.0,0.0,0.0,0.0,6.5,12.0,3,0.0,0.0,0.0,0.0,1.0,6000.0,14,0.0,320.0,0.0,60.0,0.0,0.0,10,1," 65"" haier 65 smart tv s3",1,0.0,0.0,5.0,9.0,8,0,1.0
8999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60.0,0.0,0.0,2,1," 32"" hi vhix-32f199msa",1,8.0,1.0,5.0,-1.0,3,0,1.0
119999.0,0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,3,0.0,1.0,0.0,0.0,1.0,0.0,14,0.0,500.0,0.0,120.0,0.0,0.0,10,1," 65"" haier h65s9ug pro",1,0.0,0.0,5.0,10.0,7,0,1.0
12999.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,1.0,1.0,1.0,1.0,0.0,2,0.0,0.0,0.0,60.0,0.0,0.0,13,1," 32"" candy uno 32",1,0.0,0.0,0.0,14.0,3,0,1.0
35999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,0.0,0.0,3,1.0,0.0,0.0,60.0,0.0,0.0,13,4," 43"" samsung ue43au7002u",0,0.0,0.0,5.0,7.0,3,0,1.0
14999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,1.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,60.0,0.0,0.0,13,1," 32"" haier smart tv mx",1,0.0,0.0,4.0,7.0,3,0,1.0
46999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,0.0,1.0,0.0,3,0.0,0.0,0.0,60.0,0.0,127.0,13,4," 50"" samsung ue50au7002u",1,0.0,0.0,5.0,6.0,3,0,1.0
24999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2,0.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,60.0,0.0,0.0,13,1," 40"" toshiba 40v35le",1,0.0,0.0,5.0,7.0,3,0,1.0
24999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,2,0," 32"" витязь 32lh0202",1,0.0,0.0,5.0,-3.0,3,13,1.0
39999.0,1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3,1.0,1.0,1.0,1.0,1.0,0.0,14,1.0,0.0,0.0,60.0,0.0,127.0,8,6," 50"" lg 50uq76003ld",0,0.0,0.0,5.0,5.0,3,0,1.0
34999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,13,5," 55"" hisense 55a6bg",1,0.0,0.0,5.0,11.0,3,0,1.0
44999.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,0.0,5000.0,14,0.0,260.0,0.0,60.0,0.0,127.0,16,1," 50"" artel ua50h3502",1,16.0,2.0,5.0,16.0,3,0,1.0
49999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,1200.0,14,0.0,300.0,0.0,60.0,0.0,0.0,10,5," 65"" hisense 65a6bg",1,0.0,0.0,5.0,5.0,3,0,1.0
17999.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1,0.0,0.0,1.0,1.0,0.0,0.0,14,0.0,0.0,0.0,60.0,0.0,0.0,16,1," 32"" artel a32kh5500",1,0.0,0.0,5.0,3.0,3,13,1.0
42999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,14,0.0,0.0,0.0,60.0,0.0,127.0,15,1," 50"" grundig 50 gfu 7800b",0,0.0,0.0,5.0,9.0,3,13,1.0
28999.0,0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2,0.0,0.0,1.0,1.0,0.0,1500.0,7,0.0,0.0,0.0,60.0,0.0,0.0,16,1," 43"" artel ua43h3401",1,8.0,1.5,5.0,10.0,3,0,1.0
24999.0,0,1.0,0.0,0.0,0.0,0.0,9.5,12.0,3,0.0,1.0,1.0,1.0,1.0,5000.0,14,0.0,300.0,0.0,60.0,0.0,0.0,10,9," 43"" яндекс с алисой (yndx-00071)",1,16.0,1.5,5.0,6.0,3,0,0.0
44999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,3800.0,4,0.0,0.0,0.0,60.0,0.0,0.0,13,5," 55"" hisense 55e7hq",1,0.0,0.0,5.0,14.0,8,0,1.0
29999.0,0,1.0,0.0,0.0,0.0,0.0,9.5,12.0,3,0.0,1.0,1.0,1.0,1.0,5000.0,14,0.0,300.0,0.0,60.0,0.0,127.0,10,9," 50"" яндекс с алисой (yndx-00072)",1,16.0,1.5,5.0,7.0,3,0,0.0
69999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,1200.0,14,1.0,0.0,0.0,120.0,0.0,0.0,10,5," 55"" hisense 55u7hq",1,0.0,0.0,5.0,11.0,8,0,1.0
18999.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,0.0,0.0,3,0.0,0.0,0.0,60.0,0.0,127.0,2,8," 50"" hi vhix-50u169msy  ",1,0.0,0.0,4.0,16.0,3,0,1.0
29999.0,1,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,0.0,1.0,1.0,1.0,0.0,2,0.0,350.0,0.0,60.0,0.0,0.0,13,1," 55"" philips 55pus7406/60",1,0.0,0.0,5.0,12.0,3,0,1.0
19999.0,0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1,0.0,1.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,60.0,0.0,0.0,13,1," 32"" toshiba 32v35le",1,0.0,0.0,5.0,8.0,3,0,1.0
42999.0,0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3,0.0,1.0,1.0,1.0,1.0,0.0,3,0.0,0.0,0.0,60.0,0.0,0.0,15,1," 43"" grundig 43 ggu 7902a",2,0.0,0.0,5.0,4.0,3,0,1.0
