Процессор,Гарантия,Объем SSD,Мышь,Цена,Количество ядер,Количество отзывов,Название,Операционная система,Клавиатура,Рейтинг,Блок питания,Разъем для наушников,Графика,Объем оперативной памяти,Разъем для микрофона
27,36.0,240.0,0.0,27500.0,2.0,6.0,компьютер iru home 320a3sm,3,0.0,5.0,400.0,1.0,7,8.0,1.0
73,36.0,240.0,0.0,68300.0,8.0,8.0,компьютер iru home 310h5se,3,0.0,4.0,400.0,1.0,11,8.0,1.0
72,12.0,512.0,0.0,125100.0,8.0,15.0,компьютер asus g10ce-7117001330,7,0.0,0.0,500.0,0.0,25,16.0,0.0
34,36.0,0.0,0.0,37500.0,4.0,11.0,компьютер iru home 310h5se,3,0.0,5.0,400.0,1.0,49,8.0,1.0
37,36.0,512.0,0.0,51500.0,4.0,16.0,компьютер iru home 310h5sm,3,0.0,0.0,500.0,1.0,15,16.0,1.0
49,36.0,1024.0,0.0,50600.0,6.0,5.0,компьютер iru home 310h5se,3,0.0,0.0,400.0,1.0,51,8.0,1.0
12,12.0,512.0,0.0,102600.0,6.0,8.0,компьютер asus g10dk-r5600x0800,7,0.0,0.0,500.0,0.0,25,16.0,0.0
37,36.0,1024.0,0.0,102600.0,4.0,8.0,‌,3,0.0,0.0,500.0,1.0,16,16.0,1.0
8,36.0,240.0,0.0,126600.0,6.0,9.0,компьютер iru game 520b4ge,3,0.0,0.0,500.0,1.0,18,16.0,1.0
80,12.0,512.0,1.0,109780.0,12.0,14.0,компьютер hp prodesk 400 g9,8,1.0,0.0,90.0,0.0,53,16.0,0.0
37,36.0,480.0,0.0,109780.0,4.0,15.0,‌,8,0.0,0.0,500.0,1.0,19,8.0,1.0
98,12.0,256.0,0.0,19340.0,4.0,10.0,неттоп hiper m8,3,0.0,5.0,65.0,1.0,47,4.0,1.0
22,12.0,1000.0,0.0,178500.0,12.0,9.0,компьютер gigabyte gb-amsr9n8i-20a1,7,0.0,5.0,750.0,0.0,31,32.0,0.0
34,36.0,240.0,0.0,56200.0,4.0,11.0,компьютер iru home 310h5se,8,0.0,0.0,400.0,1.0,49,8.0,1.0
50,36.0,1024.0,0.0,73900.0,6.0,1.0,компьютер iru game 310h5ge,3,0.0,0.0,500.0,1.0,19,16.0,1.0
50,36.0,1024.0,0.0,86500.0,6.0,13.0,компьютер iru game 310h5gma,3,0.0,5.0,650.0,1.0,43,16.0,1.0
104,12.0,128.0,0.0,22100.0,2.0,10.0,неттоп rombica horizon g6 txg641d,7,0.0,0.0,100.0,1.0,48,4.0,1.0
49,36.0,240.0,0.0,34200.0,6.0,10.0,компьютер iru home 510b5se,3,0.0,0.0,400.0,1.0,51,8.0,1.0
31,12.0,256.0,0.0,78790.0,8.0,1.0,компьютер apple mac mini a2686,6,0.0,0.0,0.0,1.0,1,8.0,0.0
20,12.0,512.0,0.0,56690.0,8.0,5.0,мини пк chuwi rzbox amd ryzen 7 5800h,8,0.0,0.0,0.0,1.0,2,16.0,1.0
25,0.0,0.0,0.0,44090.0,0.0,10.0,мини пк chuwi corebox intel core i5 1235u,0,0.0,0.0,0.0,0.0,1,0.0,0.0
42,12.0,512.0,0.0,39890.0,6.0,8.0,мини пк chuwi corebox intel core i3 1215u,8,0.0,0.0,0.0,1.0,46,16.0,1.0
0,12.0,512.0,0.0,23090.0,4.0,12.0,мини пк chuwi larkbox x intel n100,8,0.0,0.0,0.0,1.0,46,12.0,0.0
100,12.0,256.0,0.0,18370.0,4.0,11.0,мини пк chuwi herobox intel celeron n5100,8,0.0,0.0,0.0,1.0,46,8.0,0.0
56,36.0,512.0,0.0,88760.0,6.0,18.0,компьютер raskat strike 520,7,0.0,0.0,550.0,1.0,25,16.0,1.0
20,12.0,512.0,0.0,50390.0,8.0,16.0,мини пк chuwi rzbox amd ryzen 7 5800h,8,0.0,0.0,0.0,1.0,2,16.0,1.0
100,12.0,256.0,0.0,18890.0,4.0,20.0,мини пк chuwi herobox intel celeron n5100,8,0.0,0.0,0.0,0.0,46,8.0,0.0
80,36.0,512.0,0.0,193000.0,12.0,12.0,компьютер iru game 510b6gma,8,0.0,0.0,800.0,1.0,30,16.0,1.0
80,36.0,512.0,0.0,172800.0,12.0,9.0,компьютер iru game 510b6gma,3,0.0,0.0,800.0,1.0,30,16.0,1.0
31,12.0,256.0,0.0,78790.0,8.0,4.0,компьютер apple mac mini a2686,6,0.0,0.0,0.0,1.0,1,8.0,0.0
16,36.0,512.0,0.0,46200.0,6.0,6.0,компьютер iru home 320a3ge,3,0.0,0.0,500.0,1.0,2,16.0,1.0
34,36.0,240.0,0.0,49600.0,4.0,1.0,компьютер iru home 310h5se,8,0.0,0.0,400.0,1.0,49,8.0,1.0
31,12.0,512.0,0.0,90900.0,8.0,9.0,компьютер apple mac mini a2686,6,0.0,0.0,0.0,1.0,1,8.0,0.0
12,36.0,512.0,0.0,85400.0,6.0,9.0,компьютер iru game 520b5gma,3,0.0,0.0,650.0,1.0,4,16.0,1.0
12,36.0,512.0,0.0,83700.0,6.0,12.0,компьютер iru game 520b5gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
12,36.0,512.0,0.0,88700.0,6.0,7.0,компьютер iru game 520b5gma,3,0.0,0.0,650.0,1.0,25,16.0,1.0
56,36.0,1024.0,0.0,84200.0,6.0,1.0,компьютер iru game 310h6gma,3,0.0,0.0,650.0,1.0,24,16.0,1.0
50,36.0,1024.0,0.0,81500.0,6.0,10.0,компьютер iru game 310h5gma,3,0.0,0.0,650.0,1.0,4,16.0,1.0
80,36.0,1024.0,0.0,143900.0,12.0,11.0,компьютер iru game 510b6gma,8,0.0,0.0,700.0,1.0,28,16.0,1.0
73,36.0,1024.0,0.0,142100.0,8.0,2.0,компьютер iru game 510b5gma,8,0.0,0.0,700.0,1.0,28,16.0,1.0
56,36.0,1024.0,0.0,115600.0,6.0,14.0,компьютер iru game 510b6gma,8,0.0,0.0,700.0,1.0,25,16.0,1.0
50,36.0,1024.0,0.0,81000.0,6.0,6.0,компьютер iru game 510b5gma,3,0.0,0.0,700.0,1.0,4,16.0,1.0
50,36.0,1024.0,0.0,81000.0,6.0,12.0,‌,8,0.0,0.0,700.0,1.0,25,16.0,1.0
56,36.0,1024.0,0.0,97000.0,6.0,19.0,компьютер iru game 510b6gma,3,0.0,0.0,700.0,1.0,25,16.0,1.0
55,12.0,256.0,0.0,55250.0,6.0,11.0,мини пк msi pro dp130 12-477xru,7,0.0,0.0,350.0,1.0,46,8.0,1.0
56,12.0,512.0,0.0,64000.0,6.0,13.0,мини пк msi pro dp130 12rk-492xru,7,0.0,0.0,350.0,1.0,14,8.0,1.0
56,12.0,512.0,0.0,81600.0,6.0,2.0,мини пк msi pro dp130 12rk-474ru,8,0.0,0.0,350.0,1.0,14,8.0,1.0
62,36.0,512.0,0.0,101800.0,10.0,3.0,компьютер iru game 315ec,3,0.0,0.0,650.0,1.0,25,16.0,1.0
40,36.0,256.0,0.0,38000.0,4.0,12.0,компьютер iru game 313ec,3,0.0,0.0,500.0,1.0,51,8.0,1.0
55,36.0,512.0,0.0,49100.0,6.0,12.0,компьютер iru game 315ec,3,0.0,0.0,500.0,1.0,51,8.0,1.0
44,36.0,480.0,0.0,46880.0,6.0,7.0,компьютер raskat standart 507,7,0.0,0.0,90.0,1.0,49,8.0,1.0
50,36.0,256.0,0.0,63900.0,6.0,5.0,компьютер iru home 310h5se,8,0.0,0.0,400.0,1.0,11,8.0,1.0
50,36.0,256.0,0.0,61100.0,6.0,7.0,компьютер iru home 310h5se,8,0.0,0.0,400.0,1.0,11,8.0,1.0
50,36.0,256.0,0.0,46900.0,6.0,8.0,компьютер iru home 310h5se,3,0.0,0.0,400.0,1.0,11,8.0,1.0
